Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
133,133,Tabitha Johnson-Green,Georgia,Representative,10,DEM,Tabitha Johnson-Green,JOHNSON-GREEN,10,GA,780,"JOHNSON-GREEN, TABITHA",DEM,H8GA10197,
134,134,Antonio Daza,Georgia,Representative,11,DEM,Antonio Daza,DAZA,11,GA,NA,NA,NA,H2GA11230,
135,135,"Elizabeth ""Liz"" Johnson",Georgia,Representative,12,DEM,"Elizabeth ""Liz"" Johnson",JOHNSON,12,GA,802,"JOHNSON, ELIZABETH",DEM,H0GA12059,
136,136,David Scott,Georgia,Representative,13,DEM,David Scott,SCOTT,13,GA,806,"SCOTT, DAVID ALBERT",DEM,H2GA13012,
137,137,Marcus Flowers,Georgia,Representative,14,DEM,Marcus Flowers,FLOWERS,14,GA,816,"FLOWERS, MARCUS",DEM,H2GA14044,
138,138,Melanie Ann Stansbury,New Mexico,Representative,1,DEM,Melanie Ann Stansbury,STANSBURY,1,NM,1843,"STANSBURY, MELANIE",DEM,H2NM01144,
139,139,Gabriel Vasquez,New Mexico,Representative,2,DEM,Gabriel Vasquez,VASQUEZ,2,NM,1862,"VASQUEZ, GABRIEL",DEM,H2NM02191,
140,140,Teresa Leger Fernandez,New Mexico,Representative,3,DEM,Teresa Leger Fernandez,FERNANDEZ,3,NM,NA,NA,NA,H0NM03102,
141,141,Dianne Black,Mississippi,Representative,1,DEM,Dianne Black,BLACK,1,MS,1537,"BLACK, DIANNE DODSON",DEM,H2MS01148,
142,142,Bennie G. Thompson,Mississippi,Representative,2,DEM,Bennie G. Thompson,THOMPSON,2,MS,1540,"THOMPSON, BENNIE G.",DEM,H4MS02068,
143,143,Shuwaski A. Young,Mississippi,Representative,3,DEM,Shuwaski A. Young,YOUNG,3,MS,1543,"YOUNG, SHUWASKI",DEM,H2MS03136,
144,144,Johnny L. DuPree ,Mississippi,Representative,4,DEM,Johnny L. DuPree ,,4,MS,NA,NA,NA,H2MS04332,
145,145,Monica Tranel,Montana,Representative,1,DEM,Monica Tranel,TRANEL,1,MT,1562,"TRANEL, MONICA",DEM,H2MT02092,
146,146,Penny Ronning,Montana,Representative,2,DEM,Penny Ronning,RONNING,2,MT,1571,"RONNING, PENNY",DEM,H2MT02134,
147,147,Michael Franken,Iowa,Senator,N/A,DEM,Michael Franken,FRANKEN,0,IA,3424,"FRANKEN, MICHAEL T",DEM,S2IA00172,
148,148,Christina Bohannan,Iowa,Representative,1,DEM,Christina Bohannan,BOHANNAN,1,IA,854,"BOHANNAN, CHRISTINA",DEM,H2IA02111,
149,149,Liz Mathis,Iowa,Representative,2,DEM,Liz Mathis,MATHIS,2,IA,860,"MATHIS, ELIZABETH",DEM,H2IA01089,
150,150,Cindy Axne,Iowa,Representative,3,DEM,Cindy Axne,AXNE,3,IA,867,"AXNE, CINDY",DEM,H8IA03124,
151,151,Ryan Melton,Iowa,Representative,4,DEM,Ryan Melton,MELTON,4,IA,875,"MELTON, RYAN MICHAEL APPLETON",DEM,H2IA04141,
152,152,Brian L. Bengs,South Dakota,Senator,N/A,DEM,Brian L. Bengs,BENGS,0,SD,3787,"BENGS, BRIAN L",DEM,S2SD00126,
153,153,Donald W. Norcross,New Jersey,Representative,1,DEM,Donald W. Norcross,NORCROSS,1,NJ,1746,"NORCROSS, DONALD W",DEM,H4NJ01084,
154,154,Tim Alexander,New Jersey,Representative,2,DEM,Tim Alexander,ALEXANDER,2,NJ,1753,"ALEXANDER, TIMOTHY C",DEM,H2NJ02193,
155,155,Andy Kim,New Jersey,Representative,3,DEM,Andy Kim,KIM,3,NJ,1763,"KIM, ANDY",DEM,H8NJ03206,
156,156,Matthew Jenkins,New Jersey,Representative,4,DEM,Matthew Jenkins,JENKINS,4,NJ,1775,"JENKINS, MATTHEW",DEM,H2NJ04215,
157,157,Josh Gottheimer,New Jersey,Representative,5,DEM,Josh Gottheimer,GOTTHEIMER,5,NJ,1784,"GOTTHEIMER, JOSH",DEM,H6NJ05171,
158,158,Frank Pallone Jr.,New Jersey,Representative,6,DEM,Frank Pallone Jr.,JR.,6,NJ,NA,NA,NA,H8NJ03073,
159,159,Tom Malinowski,New Jersey,Representative,7,DEM,Tom Malinowski,MALINOWSKI,7,NJ,1804,"MALINOWSKI, TOM",DEM,H8NJ07223,
160,160,Robert J. Menendez,New Jersey,Representative,8,DEM,Robert J. Menendez,MENENDEZ,8,NJ,1816,"MENENDEZ, ROBERT J.",DEM,H2NJ08232,
161,161,Bill Pascrell Jr.,New Jersey,Representative,9,DEM,Bill Pascrell Jr.,JR.,9,NJ,NA,NA,NA,H6NJ08118,
162,162,Donald M. Payne Jr.,New Jersey,Representative,10,DEM,Donald M. Payne Jr.,JR.,10,NJ,NA,NA,NA,H2NJ10154,
163,163,Mikie Sherrill,New Jersey,Representative,11,DEM,Mikie Sherrill,SHERRILL,11,NJ,1828,"SHERRILL, MIKIE",DEM,H8NJ11142,
164,164,Bonnie Watson Coleman,New Jersey,Representative,12,DEM,Bonnie Watson Coleman,COLEMAN,12,NJ,1841,"COLEMAN, BONNIE WATSON",DEM,H4NJ12149,
165,165,Alex Padilla,California,Senator,N/A,DEM,Alex Padilla,PADILLA,0,CA,3295,"PADILLA, ALEX",DEM,S2CA00955,
166,167,Max Steiner,California,Representative,1,DEM,Max Steiner,STEINER,1,CA,NA,NA,NA,H2CA01227,
167,168,Jared Huffman,California,Representative,2,DEM,Jared Huffman,HUFFMAN,2,CA,NA,NA,NA,H2CA06259,
168,169,Kermit Jones,California,Representative,3,DEM,Kermit Jones,JONES,3,CA,NA,NA,NA,H2CA04122,
169,170,Mike Thompson,California,Representative,4,DEM,Mike Thompson,THOMPSON,4,CA,NA,NA,NA,H8CA01109,
170,171,"Michael J. ""Mike"" Barkley",California,Representative,5,DEM,"Michael J. ""Mike"" Barkley",BARKLEY,5,CA,NA,NA,NA,H2CA00096,
171,172,Ami Bera,California,Representative,6,DEM,Ami Bera,BERA,6,CA,NA,NA,NA,H0CA03078,
172,173,Doris Matsui,California,Representative,7,DEM,Doris Matsui,MATSUI,7,CA,NA,NA,NA,H6CA05195,
173,174,John Garamendi,California,Representative,8,DEM,John Garamendi,GARAMENDI,8,CA,NA,NA,NA,H0CA10149,
174,175,Josh Harder,California,Representative,9,DEM,Josh Harder,HARDER,9,CA,NA,NA,NA,H8CA10126,
175,176,Mark DeSaulnier,California,Representative,10,DEM,Mark DeSaulnier,DESAULNIER,10,CA,NA,NA,NA,H0CA10073,
176,177,Nancy Pelosi,California,Representative,11,DEM,Nancy Pelosi,PELOSI,11,CA,NA,NA,NA,H8CA05035,
177,178,Barbara Lee,California,Representative,12,DEM,Barbara Lee,LEE,12,CA,NA,NA,NA,H8CA09060,
178,179,Adam Gray,California,Representative,13,DEM,Adam Gray,GRAY,13,CA,NA,NA,NA,H2CA13115,
179,180,Eric Swalwell,California,Representative,14,DEM,Eric Swalwell,SWALWELL,14,CA,NA,NA,NA,H2CA15094,
180,181,David J. Canepa,California,Representative,15,DEM,David J. Canepa,CANEPA,15,CA,NA,NA,NA,H2CA14170,
181,182,Kevin Mullin,California,Representative,15,DEM,Kevin Mullin,MULLIN,15,CA,NA,NA,NA,H2CA14162,
182,183,Anna G. Eshoo,California,Representative,16,DEM,Anna G. Eshoo,ESHOO,16,CA,67,"ESHOO, ANNA G.",DEM,H8CA12098,
183,184,Rishi Kumar,California,Representative,16,DEM,Rishi Kumar,KUMAR,16,CA,64,"KUMAR, RISHI",DEM,H0CA18068,
184,185,Ro Khanna,California,Representative,17,DEM,Ro Khanna,KHANNA,17,CA,74,"KHANNA, ROHIT",DEM,H4CA12055,
185,186,Zoe Lofgren,California,Representative,18,DEM,Zoe Lofgren,LOFGREN,18,CA,77,"LOFGREN, ZOE",DEM,H4CA16049,
186,187,Jimmy Panetta,California,Representative,19,DEM,Jimmy Panetta,PANETTA,19,CA,79,"PANETTA, JIMMY",DEM,H6CA20152,
187,188,Marisa Wood,California,Representative,20,DEM,Marisa Wood,WOOD,20,CA,85,"WOOD, MARISA",DEM,H2CA23155,
188,189,Jim Costa,California,Representative,21,DEM,Jim Costa,COSTA,21,CA,89,"COSTA, JIM",DEM,H4CA20082,
189,190,Rudy Salas,California,Representative,22,DEM,Rudy Salas,SALAS,22,CA,97,"SALAS, RUDY",DEM,H2CA21233,
190,191,Derek Marshall,California,Representative,23,DEM,Derek Marshall,MARSHALL,23,CA,105,"MARSHALL, DEREK",DEM,H2CA08214,
191,192,Salud Carbajal,California,Representative,24,DEM,Salud Carbajal,CARBAJAL,24,CA,110,"CARBAJAL, SALUD O.",DEM,H6CA24303,
192,193,Raul Ruiz,California,Representative,25,DEM,Raul Ruiz,RUIZ,25,CA,121,"RUIZ, RAUL DR.",DEM,H2CA36439,
193,194,Julia Brownley,California,Representative,26,DEM,Julia Brownley,BROWNLEY,26,CA,132,"BROWNLEY, JULIA",DEM,H2CA00120,
194,195,Christy Smith,California,Representative,27,DEM,Christy Smith,SMITH,27,CA,136,"SMITH, CHRISTY",DEM,H0CA25154,
195,196,Judy Chu,California,Representative,28,DEM,Judy Chu,CHU,28,CA,140,"CHU, JUDY",DEM,H0CA32101,
196,197,Tony Cardenas,California,Representative,29,DEM,Tony Cardenas,CARDENAS,29,CA,147,"CARDENAS, TONY",DEM,H2CA28113,
197,198,Angélica María Dueñas,California,Representative,29,DEM,Angélica María Dueñas,DUEÑAS,29,CA,NA,NA,NA,H8CA29100,
198,199,"G ""Maebe A. Girl"" Pudlo",California,Representative,30,DEM,"G ""Maebe A. Girl"" Pudlo",PUDLO,30,CA,152,"PUDLO, G MAEBE A. GIRL",DEM,H0CA28174,
199,200,Adam B. Schiff,California,Representative,30,DEM,Adam B. Schiff,SCHIFF,30,CA,151,"SCHIFF, ADAM",DEM,H0CA27085,
200,201,Grace F. Napolitano,California,Representative,31,DEM,Grace F. Napolitano,NAPOLITANO,31,CA,159,"NAPOLITANO, GRACE",DEM,H8CA34068,
201,202,Brad Sherman,California,Representative,32,DEM,Brad Sherman,SHERMAN,32,CA,172,"SHERMAN, BRAD",DEM,H6CA24113,
202,203,Pete Aguilar,California,Representative,33,DEM,Pete Aguilar,AGUILAR,33,CA,177,"AGUILAR, PETE",DEM,H2CA31125,
203,204,Jimmy Gomez,California,Representative,34,DEM,Jimmy Gomez,GOMEZ,34,CA,191,"GOMEZ, JIMMY",DEM,H8CA34266,
204,205,David Kim,California,Representative,34,DEM,David Kim,KIM,34,CA,184,"KIM, DAVID",DEM,H0CA34131,
205,206,Norma J. Torres,California,Representative,35,DEM,Norma J. Torres,TORRES,35,CA,194,"TORRES, NORMA",DEM,H4CA35031,
206,207,Ted W. Lieu,California,Representative,36,DEM,Ted W. Lieu,LIEU,36,CA,197,"LIEU, TED",DEM,H4CA33119,
207,208,Sydney Kamlager,California,Representative,37,DEM,Sydney Kamlager,KAMLAGER,37,CA,206,"KAMLAGER, SYDNEY",DEM,H2CA37304,
208,209,Jan C. Perry,California,Representative,37,DEM,Jan C. Perry,PERRY,37,CA,207,"PERRY, JAN",DEM,H2CA37312,
209,210,Linda T. Sánchez,California,Representative,38,DEM,Linda T. Sánchez,SÁNCHEZ,38,CA,NA,NA,NA,H2CA39078,
210,211,Mark Takano,California,Representative,39,DEM,Mark Takano,TAKANO,39,CA,216,"TAKANO, MARK",DEM,H2CA43245,
211,212,Asif Mahmood,California,Representative,40,DEM,Asif Mahmood,MAHMOOD,40,CA,225,"MAHMOOD, ASIF DR.",DEM,H2CA40092,
212,213,Will Rollins,California,Representative,41,DEM,Will Rollins,ROLLINS,41,CA,233,"ROLLINS, WILL",DEM,H2CA42205,
213,214,Robert Garcia,California,Representative,42,DEM,Robert Garcia,GARCIA,42,CA,242,"GARCIA, ROBERT",DEM,H2CA47188,
214,215,Maxine Waters,California,Representative,43,DEM,Maxine Waters,WATERS,43,CA,244,"WATERS, MAXINE",DEM,H4CA23011,
215,216,Nanette Diaz Barragan,California,Representative,44,DEM,Nanette Diaz Barragan,BARRAGAN,44,CA,247,"BARRAGAN, NANETTE",DEM,H6CA44103,
216,217,Jay F. Chen,California,Representative,45,DEM,Jay F. Chen,CHEN,45,CA,248,"CHEN, JAY",DEM,H2CA39136,
217,218,Lou Correa,California,Representative,46,DEM,Lou Correa,CORREA,46,CA,256,"CORREA, LOU",DEM,H6CA46116,
218,219,Katie Porter,California,Representative,47,DEM,Katie Porter,PORTER,47,CA,261,"PORTER, KATHERINE",DEM,H8CA45130,
219,220,Stephen Houlahan,California,Representative,48,DEM,Stephen Houlahan,HOULAHAN,48,CA,271,"HOULAHAN, STEPHEN WILLIAM",DEM,H2CA50174,
220,221,Mike Levin,California,Representative,49,DEM,Mike Levin,LEVIN,49,CA,279,"LEVIN, MIKE",DEM,H8CA49058,
221,222,Scott Peters,California,Representative,50,DEM,Scott Peters,PETERS,50,CA,291,"PETERS, SCOTT",DEM,H2CA52089,
222,223,Sara Jacobs,California,Representative,51,DEM,Sara Jacobs,JACOBS,51,CA,302,"JACOBS, SARA",DEM,H8CA49074,
223,224,Juan Vargas,California,Representative,52,DEM,Juan Vargas,VARGAS,52,CA,306,"VARGAS, JUAN C.",DEM,H2CA50026,
224,225,Jennifer Lewis,Virginia,Representative,6,DEM,Jennifer Lewis,LEWIS,6,VA,2952,"LEWIS, JENNIFER",DEM,H8VA06138,
225,226,Chellie Pingree,Maine,Representative,1,DEM,Chellie Pingree,PINGREE,1,ME,1305,"PINGREE, CHELLIE M",DEM,H8ME01120,
226,227,Jared Golden,Maine,Representative,2,DEM,Jared Golden,GOLDEN,2,ME,1309,"GOLDEN, JARED",DEM,H8ME02185,
227,228,Catherine Cortez Masto,Nevada,Senator,N/A,DEM,Catherine Cortez Masto,MASTO,0,NV,NA,NA,NA,S6NV00200,
228,229,Dina Titus,Nevada,Representative,1,DEM,Dina Titus,TITUS,1,NV,1877,"TITUS, DINA",DEM,H8NV03036,
229,230,Elizabeth Mercedes Krause,Nevada,Representative,2,DEM,Elizabeth Mercedes Krause,KRAUSE,2,NV,1891,"KRAUSE, E M",DEM,H2NV02551,
230,231,Susie Lee,Nevada,Representative,3,DEM,Susie Lee,LEE,3,NV,1896,"LEE, SUSIE",DEM,H6NV04020,
231,232,Steven A. Horsford,Nevada,Representative,4,DEM,Steven A. Horsford,HORSFORD,4,NV,1907,"HORSFORD, STEVEN ALEXZANDER",DEM,H2NV04011,
232,233,Krystle Matthews,South Carolina,Senator,N/A,DEM,Krystle Matthews,MATTHEWS,0,SC,3781,"MATTHEWS, KRYSTLE",DEM,S2SC00103,
233,234,Annie Andrews,South Carolina,Representative,1,DEM,Annie Andrews,ANDREWS,1,SC,2441,"ANDREWS, ANNIE DR.",DEM,H2SC01127,
234,235,Judd Larkins,South Carolina,Representative,2,DEM,Judd Larkins,LARKINS,2,SC,2456,"LARKINS, JUDDSON",DEM,H2SC02182,
235,236,Ken Hill,South Carolina,Representative,4,DEM,Ken Hill,HILL,4,SC,NA,NA,NA,H2SC04170,
236,237,Evangeline Hundley,South Carolina,Representative,5,DEM,Evangeline Hundley,HUNDLEY,5,SC,NA,NA,NA,H2SC05102,
237,238,"James E. ""Jim"" Clyburn",South Carolina,Representative,6,DEM,"James E. ""Jim"" Clyburn",CLYBURN,6,SC,2473,"CLYBURN, JAMES E.",DEM,H2SC02042,
238,239,Daryl W. Scott,South Carolina,Representative,7,DEM,Daryl W. Scott,SCOTT,7,SC,NA,NA,NA,H2SC07314,
239,240,Katrina Christiansen,North Dakota,Senator,N/A,DEM,Katrina Christiansen,CHRISTIANSEN,0,ND,3621,"CHRISTIANSEN, KATRINA",DEM,S2ND00123,
240,241,Mark Haugen,North Dakota,Representative,At-Large,DEM,Mark Haugen,HAUGEN,0,ND,1709,"HAUGEN, MARK",DEM,H2ND01014,
241,242,"Herbert C. ""Herb"" Jones Jr.",Virginia,Representative,1,DEM,"Herbert C. ""Herb"" Jones Jr.",JR.,1,VA,NA,NA,NA,H2VA01124,
242,243,Elaine G. Luria,Virginia,Representative,2,DEM,Elaine G. Luria,LURIA,2,VA,2928,"LURIA, ELAINE",DEM,H8VA02111,
243,244,"Robert C. ""Bobby"" Scott",Virginia,Representative,3,DEM,"Robert C. ""Bobby"" Scott",SCOTT,3,VA,2936,"SCOTT, ROBERT C",DEM,H6VA01117,
244,245,A. Donald McEachin,Virginia,Representative,4,DEM,A. Donald McEachin,MCEACHIN,4,VA,2940,"MCEACHIN, ASTON DONALD",DEM,H6VA04061,
245,246,Joshua M. Throneburg,Virginia,Representative,5,DEM,Joshua M. Throneburg,THRONEBURG,5,VA,2945,"THRONEBURG, JOSHUA",DEM,H2VA05091,
246,247,Abigail A. Spanberger,Virginia,Representative,7,DEM,Abigail A. Spanberger,SPANBERGER,7,VA,2956,"SPANBERGER, ABIGAIL",DEM,H8VA07094,
247,248,Donald S. Beyer Jr.,Virginia,Representative,8,DEM,Donald S. Beyer Jr.,JR.,8,VA,NA,NA,NA,H4VA08224,
248,249,Jennifer T. Wexton,Virginia,Representative,10,DEM,Jennifer T. Wexton,WEXTON,10,VA,2986,"WEXTON, JENNIFER",DEM,H8VA10106,
249,250,"Gerald E. ""Gerry"" Connolly",Virginia,Representative,11,DEM,"Gerald E. ""Gerry"" Connolly",CONNOLLY,11,VA,3006,"CONNOLLY, GERALD EDWARD",DEM,H8VA11062,
250,251,Michael Bennet,Colorado,Senator,N/A,DEM,Michael Bennet,BENNET,0,CO,3319,"BENNET, MICHAEL F.",DEM,S0CO00211,
251,252,Diana DeGette,Colorado,Representative,1,DEM,Diana DeGette,DEGETTE,1,CO,317,"DEGETTE, DIANA L",DEM,H6CO01141,
252,253,Joe Neguse,Colorado,Representative,2,DEM,Joe Neguse,NEGUSE,2,CO,320,"NEGUSE, JOSEPH",DEM,H8CO02160,
253,254,Adam Frisch,Colorado,Representative,3,DEM,Adam Frisch,FRISCH,3,CO,333,"FRISCH, ADAM",DEM,H2CO03351,
254,255,Ike McCorkle,Colorado,Representative,4,DEM,Ike McCorkle,MCCORKLE,4,CO,341,"MCCORKLE, ISAAC IAN",DEM,H0CO04197,
255,256,David Torres,Colorado,Representative,5,DEM,David Torres,TORRES,5,CO,NA,NA,NA,H8PA02110,
256,257,Jason Crow,Colorado,Representative,6,DEM,Jason Crow,CROW,6,CO,356,"CROW, JASON",DEM,H8CO06229,
257,258,Brittany Pettersen,Colorado,Representative,7,DEM,Brittany Pettersen,PETTERSEN,7,CO,365,"PETTERSEN, BRITTANY LOUISE MS.",DEM,H8CO07045,
258,259,Yadira Caraveo,Colorado,Representative,8,DEM,Yadira Caraveo,CARAVEO,8,CO,373,"CARAVEO, YADIRA",DEM,H2CO08020,
259,260,Tammy Duckworth,Illinois,Senator,N/A,DEM,Tammy Duckworth,DUCKWORTH,0,IL,3443,"DUCKWORTH, L. TAMMY",DEM,S6IL00292,
260,261,Jonathan L. Jackson,Illinois,Representative,1,DEM,Jonathan L. Jackson,JACKSON,1,IL,904,"JACKSON, JONATHAN",DEM,H2IL01349,
261,262,Robin Kelly,Illinois,Representative,2,DEM,Robin Kelly,KELLY,2,IL,911,"KELLY, ROBIN",DEM,H2IL02172,
262,263,Delia Ramirez,Illinois,Representative,3,DEM,Delia Ramirez,RAMIREZ,3,IL,915,"RAMIREZ, DELIA",DEM,H2IL03162,
263,264,"Jesus ""Chuy"" Garcia",Illinois,Representative,4,DEM,"Jesus ""Chuy"" Garcia",GARCIA,4,IL,921,"GARCIA, JESUS",DEM,H8IL04134,
264,265,Mike Quigley,Illinois,Representative,5,DEM,Mike Quigley,QUIGLEY,5,IL,923,"QUIGLEY, MIKE",DEM,H0IL05096,
265,266,Sean Casten,Illinois,Representative,6,DEM,Sean Casten,CASTEN,6,IL,935,"CASTEN, SEAN",DEM,H8IL06139,
266,267,Danny K. Davis,Illinois,Representative,7,DEM,Danny K. Davis,DAVIS,7,IL,944,"DAVIS, DANNY K. MR.",DEM,H4IL07037,
267,268,Raja Krishnamoorthi,Illinois,Representative,8,DEM,Raja Krishnamoorthi,KRISHNAMOORTHI,8,IL,947,"KRISHNAMOORTHI, S. RAJA",DEM,H6IL08147,
268,269,Janice D. Schakowsky,Illinois,Representative,9,DEM,Janice D. Schakowsky,SCHAKOWSKY,9,IL,954,"SCHAKOWSKY, JANICE D",DEM,H8IL09067,
269,270,Brad Schneider,Illinois,Representative,10,DEM,Brad Schneider,SCHNEIDER,10,IL,958,"SCHNEIDER, BRADLEY S.",DEM,H2IL10068,
270,271,Bill Foster,Illinois,Representative,11,DEM,Bill Foster,FOSTER,11,IL,964,"FOSTER, G. WILLIAM (BILL)",DEM,H8IL14067,
271,272,"Homer ""Chip"" Markel",Illinois,Representative,12,DEM,"Homer ""Chip"" Markel",MARKEL,12,IL,977,"MARKEL, HOMER CHIP MR.",DEM,H2IL12197,
272,273,Nikki Budzinski,Illinois,Representative,13,DEM,Nikki Budzinski,BUDZINSKI,13,IL,981,"BUDZINSKI, NIKKI",DEM,H2IL13153,
273,274,Lauren Underwood,Illinois,Representative,14,DEM,Lauren Underwood,UNDERWOOD,14,IL,987,"UNDERWOOD, LAUREN",DEM,H8IL14174,
274,275,Paul J. Lange,Illinois,Representative,15,DEM,Paul J. Lange,LANGE,15,IL,1001,"LANGE, PAUL",DEM,H2IL15109,
275,276,Eric Sorensen,Illinois,Representative,17,DEM,Eric Sorensen,SORENSEN,17,IL,1022,"SORENSEN, ERIC",DEM,H2IL17147,
276,277,Charles E. Schumer,New York,Senator,N/A,DEM,Charles E. Schumer,SCHUMER,0,NY,3682,"SCHUMER, CHARLES E.",DEM,S8NY00082,
277,278,Madison Horn,Oklahoma,Senator,N/A,DEM,Madison Horn,HORN,0,OK,3718,"HORN, MADISON",DEM,S2OK00152,
278,279,Kendra Horn,Oklahoma,Senator,N/A,DEM,Kendra Horn,HORN,0,OK,3720,"HORN, KENDRA",DEM,S2OK00228,
279,280,Adam Martin,Oklahoma,Representative,1,DEM,Adam Martin,MARTIN,1,OK,2235,"MARTIN, ADAM",DEM,H2OK01176,
280,281,Naomi Andrews,Oklahoma,Representative,2,DEM,Naomi Andrews,ANDREWS,2,OK,2240,"ANDREWS, NAOMI",DEM,H2OK02307,
281,282,Jeremiah A. Ross,Oklahoma,Representative,3,DEM,Jeremiah A. Ross,ROSS,3,OK,NA,NA,NA,H2OK03149,
282,283,Mary Brannon,Oklahoma,Representative,4,DEM,Mary Brannon,BRANNON,4,OK,2259,"BRANNON, MARY",DEM,H8OK04094,
283,284,Joshua Harris-Till,Oklahoma,Representative,5,DEM,Joshua Harris-Till,HARRIS-TILL,5,OK,2263,"HARRIS-TILL, JOSHUA",DEM,H2OK05169,
284,285,Rick Edwin Jones,Utah,Representative,1,DEM,Rick Edwin Jones,JONES,1,UT,NA,NA,NA,H2UT01300,
285,286,Nick Mitchell,Utah,Representative,2,DEM,Nick Mitchell,MITCHELL,2,UT,2895,"MITCHELL, NICHOLAS",DEM,H2UT02464,
286,287,Glenn J. Wright,Utah,Representative,3,DEM,Glenn J. Wright,WRIGHT,3,UT,2907,"WRIGHT, GLENN",DEM,H2UT03306,
287,288,Darlene McDonald,Utah,Representative,4,DEM,Darlene McDonald,MCDONALD,4,UT,2914,"MCDONALD, DARLENE",DEM,H8UT04046,
288,289,Chris Van Hollen,Maryland,Senator,N/A,DEM,Chris Van Hollen,HOLLEN,0,MD,NA,NA,NA,S6MD03441,
289,290,Heather R. Mizeur,Maryland,Representative,1,DEM,Heather R. Mizeur,MIZEUR,1,MD,1242,"MIZEUR, HEATHER RENAY",DEM,H2MD01220,
290,291,C.A. Dutch Ruppersberger,Maryland,Representative,2,DEM,C.A. Dutch Ruppersberger,RUPPERSBERGER,2,MD,1248,"RUPPERSBERGER, C. A. DUTCH",DEM,H2MD02160,
291,292,John Sarbanes,Maryland,Representative,3,DEM,John Sarbanes,SARBANES,3,MD,1260,"SARBANES, JOHN P. MR.",DEM,H6MD03292,
292,293,Glenn F. Ivey,Maryland,Representative,4,DEM,Glenn F. Ivey,IVEY,4,MD,1267,"IVEY, GLENN",DEM,H2MD04315,
293,294,Steny Hoyer,Maryland,Representative,5,DEM,Steny Hoyer,HOYER,5,MD,1277,"HOYER, STENY",DEM,H2MD05155,
294,295,David J. Trone,Maryland,Representative,6,DEM,David J. Trone,TRONE,6,MD,1286,"TRONE, DAVID",DEM,H6MD08549,
295,296,Kweisi Mfume,Maryland,Representative,7,DEM,Kweisi Mfume,MFUME,7,MD,1296,"MFUME, KWEISI",DEM,H6MD07020,
296,297,Jamie Raskin,Maryland,Representative,8,DEM,Jamie Raskin,RASKIN,8,MD,1300,"RASKIN, JAMIE",DEM,H6MD08457,
297,298,Mark Kelly,Arizona,Senator,N/A,DEM,Mark Kelly,KELLY,0,AZ,3282,"KELLY, MARK",DEM,S0AZ00350,
298,299,Jevin D. Hodge,Arizona,Representative,1,DEM,Jevin D. Hodge,HODGE,1,AZ,NA,NA,NA,H2AZ06221,
299,300,Tom O'Halleran,Arizona,Representative,2,DEM,Tom O'Halleran,O'HALLERAN,2,AZ,NA,NA,NA,H6AZ01199,
300,301,Ruben Gallego,Arizona,Representative,3,DEM,Ruben Gallego,GALLEGO,3,AZ,NA,NA,NA,H4AZ07043,
301,302,Greg Stanton,Arizona,Representative,4,DEM,Greg Stanton,STANTON,4,AZ,NA,NA,NA,H8AZ09040,
302,303,Javier Garcia Ramos,Arizona,Representative,5,DEM,Javier Garcia Ramos,RAMOS,5,AZ,NA,NA,NA,H0AZ05185,
303,304,Kirsten Engel,Arizona,Representative,6,DEM,Kirsten Engel,ENGEL,6,AZ,NA,NA,NA,H2AZ02311,
304,305,Raúl Grijalva,Arizona,Representative,7,DEM,Raúl Grijalva,GRIJALVA,7,AZ,NA,NA,NA,H2AZ07070,
305,306,Mark R. Holland,Kansas,Senator,N/A,DEM,Mark R. Holland,HOLLAND,0,KS,3475,"HOLLAND, MARK R. REV.",DEM,S2KS00113,
306,307,"James ""Jimmy"" Beard",Kansas,Representative,1,DEM,"James ""Jimmy"" Beard",BEARD,1,KS,1097,"BEARD, JAMES KENNETH",DEM,H2KS01079,
307,308,Patrick Schmidt,Kansas,Representative,2,DEM,Patrick Schmidt,SCHMIDT,2,KS,1103,"SCHMIDT, PATRICK",DEM,H2KS02143,
308,309,Sharice Davids,Kansas,Representative,3,DEM,Sharice Davids,DAVIDS,3,KS,1107,"DAVIDS, SHARICE",DEM,H8KS03155,
309,310,Bob Hernandez,Kansas,Representative,4,DEM,Bob Hernandez,HERNANDEZ,4,KS,1113,"HERNANDEZ, BOB MR",DEM,H2KS04149,
310,311,Bob Lorinser,Michigan,Representative,1,DEM,Bob Lorinser,LORINSER,1,MI,1319,"LORINSER, ROBERT JAMES",DEM,H2MI01142,
311,312,Jerry Hilliard,Michigan,Representative,2,DEM,Jerry Hilliard,HILLIARD,2,MI,1322,"HILLIARD, JEROME C",DEM,H8MI04101,
312,313,Hillary Scholten,Michigan,Representative,3,DEM,Hillary Scholten,SCHOLTEN,3,MI,1326,"SCHOLTEN, HILLARY",DEM,H0MI03316,
313,314,Bart Goldberg,Michigan,Representative,5,DEM,Bart Goldberg,GOLDBERG,5,MI,1339,"GOLDBERG, BARTLEY F.",DEM,H2MI05176,
314,315,Debbie Dingell,Michigan,Representative,6,DEM,Debbie Dingell,DINGELL,6,MI,1345,"DINGELL, DEBBIE",DEM,H4MI12079,
315,316,Elissa Slotkin,Michigan,Representative,7,DEM,Elissa Slotkin,SLOTKIN,7,MI,1352,"SLOTKIN, ELISSA",DEM,H8MI08102,
