Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
21,21,Jan McDowell,Texas,Representative,24,DEM,Jan McDowell,MCDOWELL,24,TX,2754,"MCDOWELL, JAN",DEM,H6TX24149,
22,22,Maclovio Perez Jr.,Texas,Representative,27,DEM,Maclovio Perez Jr.,JR.,27,TX,NA,NA,NA,H2TX27299,
23,23,Henry Cuellar,Texas,Representative,28,DEM,Henry Cuellar,CUELLAR,28,TX,2781,"CUELLAR, HENRY",DEM,H2TX23082,
24,24,Sylvia Garcia,Texas,Representative,29,DEM,Sylvia Garcia,GARCIA,29,TX,2791,"GARCIA, SYLVIA R.",DEM,H8TX29052,
25,25,Jasmine Crockett,Texas,Representative,30,DEM,Jasmine Crockett,CROCKETT,30,TX,2803,"CROCKETT, JASMINE",DEM,H2TX30178,
26,26,Colin Allred,Texas,Representative,32,DEM,Colin Allred,ALLRED,32,TX,2820,"ALLRED, COLIN",DEM,H8TX32098,
27,27,Marc Veasey,Texas,Representative,33,DEM,Marc Veasey,VEASEY,33,TX,2831,"VEASEY, MARC ALLISON",DEM,H2TX33073,
28,28,Vicente Gonzalez,Texas,Representative,34,DEM,Vicente Gonzalez,GONZALEZ,34,TX,2841,"GONZALEZ, VICENTE",DEM,H6TX15162,
29,29,Greg Casar,Texas,Representative,35,DEM,Greg Casar,CASAR,35,TX,2850,"CASAR, GREG",DEM,H2TX35144,
30,30,Jon Haire,Texas,Representative,36,DEM,Jon Haire,HAIRE,36,TX,2861,"HAIRE, MARVIN JONATHAN",DEM,H2TX36142,
31,31,Lloyd Doggett,Texas,Representative,37,DEM,Lloyd Doggett,DOGGETT,37,TX,2869,"DOGGETT, LLOYD",DEM,H4TX10028,
32,32,Duncan F. Klussmann,Texas,Representative,38,DEM,Duncan F. Klussmann,KLUSSMANN,38,TX,2873,"KLUSSMANN, DUNCAN FOSTER",DEM,H2TX38056,
33,33,Thomas M. McDermott Jr.,Indiana,Senator,N/A,DEM,Thomas M. McDermott Jr.,JR.,0,IN,NA,NA,NA,S2IN00208,
34,34,Frank J. Mrvan,Indiana,Representative,1,DEM,Frank J. Mrvan,MRVAN,1,IN,1030,"MRVAN, FRANK J.",DEM,H0IN01150,
35,35,Paul D. Steury,Indiana,Representative,2,DEM,Paul D. Steury,STEURY,2,IN,1037,"STEURY, PAUL MR.",DEM,H2IN02279,
36,36,Gary L. Snyder,Indiana,Representative,3,DEM,Gary L. Snyder,SNYDER,3,IN,1046,"SNYDER, GARY",DEM,H2IN03202,
37,37,Roger D. Day,Indiana,Representative,4,DEM,Roger D. Day,DAY,4,IN,NA,NA,NA,H8IN04231,
