"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"51","Antonio Daza","Georgia","GA","11","DEM",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.613307159371459,0.415314285117537,0.379829040852575,-0.152902659857765,-0.215287028813894,29063.08
"52","Antonio Swad","Texas","TX","32","GOP",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.322197116769906,0.326691834982947,0.344979213303486,0.329544159760572,0.284893223892265,31202.06
"53","April Becker","Nevada","NV","3","GOP",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.439316960295318,0.457396262274311,0.436863875936812,0.0664086708625414,0.0805046738671155,851263.18
"54","Ashley Ehasz","Pennsylvania","PA","1","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79857909751512,0.517937378421099,0.518480212026434,0.0463989053341369,0.0561964526346671,501507.37
"55","Ashley Hinson","Iowa","IA","2","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.859299714514618,0.51174321683344,0.51449859658076,-0.0438883019006908,-0.0585506506761929,1825687.81
"56","Asif Mahmood","California","CA","40","DEM",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.485270946084812,0.499227588285717,0.465020920019825,0.0186956603649174,-0.0505711223043142,2838539.93
"57","Austin Scott","Georgia","GA","8","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.579142792915246,0.633005224318811,0.650576967900616,-0.27627747610313,-0.313131629390748,152300
"58","Ayanna S. Pressley","Massachusetts","MA","7","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.38670109665575,0.851500515239065,0.814071812228681,0.721119744087395,0.645611066146715,296077.740000001
"59","Barbara D. Gaskins","North Carolina","NC","3","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643739187576274,0.365931612762714,0.368267147598414,-0.253179788740063,-0.241869871853969,5050
"60","Barbara Kirkmeyer","Colorado","CO","8","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517244867417524,0.46259668734397,0.469969342011123,0.0454598605012833,0.0129441001517346,648153.39
"61","Barbara Lee","California","CA","12","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.328706950647817,0.893165389423338,0.897462538963234,0.807079189086363,0.81407183005145,500058.25
"62","Barry Lee Wendell","West Virginia","WV","2","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883936817174642,0.306004337488435,0.322449200172936,-0.370134004516559,-0.322659965412884,10148
"63","Barry Loudermilk","Georgia","GA","11","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.613307159371459,0.568216944975302,0.595116069666469,-0.152902659857765,-0.215287028813894,131460
"64","Barry Moore","Alabama","AL","2","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.593715125634792,0.64078626837553,0.624812832611065,-0.293705922901532,-0.25738391850251,402315.32
"65","Bart Goldberg","Michigan","MI","5","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845009450721973,0.370508897200499,0.377742960556735,-0.241636237304673,-0.214598101610656,70595
"66","Beatrice Nichols","Alabama","AL","7","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362879203738328,0.334368675597513,0.31321787838419,0.320516896663467,0.367043241409935,49567
"67","Becca Balint","Vermont","VT","At-Large","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.891341161322828,0.66086416930664,0.580605809229868,0.354126522747314,0.210270454905884,1093680.11
"68","Ben Clark","North Carolina","NC","9","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556008539947859,0.452654192187745,0.45724671334667,-0.0796482017455297,-0.0631311327045822,13330.48
"69","Ben L. Cline","Virginia","VA","6","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.781166526213642,0.600763029658893,0.611438055987743,-0.220985320953737,-0.2385862916731,249297.65
"70","Benine Hamdan","New York","NY","10","GOP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.485996259834666,0.138262316679957,0.108510211352682,0.709627985993135,0.754264115091179,4758.19
