"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"253","Elaine G. Luria","Virginia","VA","2","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.58684326452247,0.500127430772923,0.482707234506914,0.0204705783377583,-0.0179029258361837,4063424.89000001
"254","Eli Crane","Arizona","AZ","2","GOP",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.552800612122646,0.531685574965117,0.53347917923959,-0.0788010117295547,-0.0892757996378998,2151415.61000002
"255","Elise M. Stefanik","New York","NY","21","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.870412151804894,0.551398078156433,0.521096540282278,-0.123615214686262,-0.0748608712987711,2628437.86
"256","Elissa Slotkin","Michigan","MI","7","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.799032039193125,0.496092379413533,0.493047540107366,0.00947125881924377,0.0142380181422407,3710689
"257","Elizabeth ""Liz"" Johnson","Georgia","GA","12","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521270728341105,0.443327153685495,0.423453430965604,-0.10144791495553,-0.139495325646091,43210
"258","Elizabeth Kreiselmaier","Washington","WA","6","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720667082213641,0.396300057259421,0.424241576320596,0.171020022903768,0.133570581860917,153084.45
"259","Elizabeth L. Joy","New York","NY","20","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.72375545548032,0.392928807107912,0.39465026417475,0.191175101622863,0.175850484977525,525759.03
"260","Elizabeth Mercedes Krause","Nevada","NV","2","DEM",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.628154516816586,0.430535653869883,0.40465473302834,-0.110173244173781,-0.133283183395253,12350
"261","Emanuel Cleaver II","Missouri","MO","5","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.578701368922903,0.621538812655122,0.608411295115212,0.263095883376601,0.249382738740726,99050
"262","Emilia Sykes","Ohio","OH","13","DEM",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.756560263402108,0.507034556102893,0.506800221354891,0.028189921936737,0.0370154567787007,1042502.44
"263","Eric Burlison","Missouri","MO","7","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.827891832875163,0.697751199323768,0.689845193537689,-0.413914900156982,-0.41082638461174,415996.87
"264","Eric Carlson","Illinois","IL","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360600097919931,0.281201819824401,0.253271275566838,0.423704240666908,0.443447181956427,0
"265","Eric J. Brewer","Ohio","OH","11","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40747746717008,0.206766571151952,0.200666759447868,0.575981629925588,0.580852490542644,0
"266","Eric J. Ching","California","CA","38","GOP",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.134823675670397,0.338819670583793,0.333969736352797,0.301946174902072,0.312979937969874,143754.01
"267","Eric Lynn","Florida","FL","13","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739817295679655,0.459851624365819,0.451450612107999,-0.0674859113950097,-0.073586596511823,909640.67
"268","Eric Schmitt","Missouri","MO","N/A","GOP",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.757753521455137,0.568147702747329,0.555282232367141,-0.153949695833968,-0.13993458428287,1881041.1
"269","Eric Sorensen","Illinois","IL","17","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67513095813055,0.527134587554269,0.510777728368479,0.0778732513265799,0.0707481719488179,1373874.55
"270","Eric Swalwell","California","CA","14","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.255749154613545,0.716743510163076,0.708808111541185,0.454590576655125,0.437482904237501,1053053.66
"271","Erik Aadland","Colorado","CO","7","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748912632309681,0.415231700236799,0.438307588521216,0.141729526857918,0.0792088505153493,808515.92
"272","Erik Olsen","Wisconsin","WI","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793241619893717,0.28343902444515,0.281935158674721,0.416337437165002,0.414800770665582,17650
"273","Erin Houchin","Indiana","IN","9","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.869620981818375,0.627824848860251,0.598376322137688,-0.273892973157805,-0.226523164470836,914496.8
"274","Esther Joy King","Illinois","IL","17","GOP",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.67513095813055,0.449261336227689,0.440029556419661,0.0778732513265799,0.0707481719488179,2389492.18
"275","Evangeline Hundley","South Carolina","SC","5","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641298461168156,0.402446165211919,0.397638147200307,-0.18171669357266,-0.185918934219718,0
"276","Francis Conole","New York","NY","22","DEM",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.758714289207705,0.526027213260084,0.534310728363102,0.0744805168638934,0.102987472518895,1125320.31
"277","Frank D. Lucas","Oklahoma","OK","3","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.601138316720779,0.702629193109701,0.68908594323391,-0.427999096965158,-0.415109549649273,496450
"278","Frank J. Mrvan","Indiana","IN","1","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.593710167956103,0.533701599079531,0.564573027857329,0.0835583628806913,0.154897813069513,754424.009999999
"279","Frank Pallone Jr.","New Jersey","NJ","6","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.41770918414822,0.591918708190539,0.573576894327613,0.196881219975756,0.16657291032527,541442
"280","Frank T. Pallotta","New Jersey","NJ","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591983114723144,0.431704362060753,0.452788973508165,0.123985553824029,0.077748164328919,320578.75
"281","Frederica Wilson","Florida","FL","24","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.176186037562677,0.741124519326544,0.789531818382645,0.489650051613916,0.587789576000353,165868
"282","French Hill","Arkansas","AR","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.66272269532755,0.552376434132734,0.565598350034261,-0.131245101954414,-0.159569055001119,1458349.14
"283","G ""Maebe A. Girl"" Pudlo","California","CA","30","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556472154034272,0.722056704520609,0.752468127477076,0.462276452319048,0.52249136074034,3100
"284","Gabriel Vasquez","New Mexico","NM","2","DEM",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.294344658749926,0.518870559812767,0.523411712145463,0.0588275263296969,0.0816102573444895,1702071.67
"285","Gary Josephson","Ohio","OH","15","DEM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731567573064846,0.457966186257232,0.44382257012394,-0.0675792031801978,-0.090078277886497,3957.27
"286","Gary L. Snyder","Indiana","IN","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804853656822031,0.339789102086155,0.345285701136259,-0.298978986290114,-0.27603628665228,33530
"287","Geoffrey M. ""Geoff"" Young","Kentucky","KY","6","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784862817788147,0.435274349933892,0.460741019635872,-0.10949757602468,-0.0572516161145606,24303.75
"288","George A.D. Santos","New York","NY","3","GOP",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.557289783016355,0.45296657716507,0.420426560701633,0.0814781789764757,0.143390366698173,868354.88
"289","George Logan","Connecticut","CT","5","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633391524274497,0.438761347227974,0.455864732617994,0.10742508870706,0.0655887491381792,616717.68
"290","Gerald E. ""Gerry"" Connolly","Virginia","VA","11","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.487800463226755,0.694481625699684,0.672199305608463,0.409981840986952,0.365309265446947,368219.3
"291","Gerald Malloy","Vermont","VT","N/A","GOP",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.891341161322828,0.306737646559326,0.370335354323985,0.354126522747314,0.210270454905884,187170
"292","Glenn F. Ivey","Maryland","MD","4","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.106563004086548,0.892256146632286,0.873498016088603,0.806024274475668,0.76798914937223,739016
"293","Glenn J. Wright","Utah","UT","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777770985347914,0.375803843310787,0,-0.192173107925031,0,4000
"294","Grace F. Napolitano","California","CA","31","DEM",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.149930935396204,0.644801198345762,0.653780031988505,0.310342244944479,0.32754432631696,47500
"295","Grace Meng","New York","NY","6","DEM",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.242199515812044,0.645450963313217,0.713830634457128,0.30225429809826,0.448700642195099,397215.57
"296","Greg Casar","Texas","TX","35","DEM",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.261828427339707,0.715544978581628,0.713585208616769,0.451312708234174,0.455577295649791,583850.53
"297","Greg Landsman","Ohio","OH","1","DEM",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.674365330587443,0.534638364016127,0.499227417586475,0.0845825035216398,0.0200019314560338,1378612.67
"298","Greg Murphy","North Carolina","NC","3","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.643739187576274,0.619111401502777,0.610137019452383,-0.253179788740063,-0.241869871853969,441725.1
"299","Greg Pence","Indiana","IN","6","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.809699329795517,0.6490148674231,0.62994819632714,-0.319266757503045,-0.297232859873429,344746.19
"300","Greg Stanton","Arizona","AZ","4","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.551566741462175,0.541626052162487,0.517587474238229,0.10285746597806,0.0596581417120702,3456538.03
"301","Greg Steube","Florida","FL","17","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.755355093009681,0.574875263332964,0.575328297186798,-0.159226078279188,-0.167462702731974,464193.62
"302","Gregory Meeks","New York","NY","5","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.127818155375168,0.808002451255147,0.857879557652272,0.623691231531511,0.725858051454438,546928.95
"303","Gregory Thomas Coll","Maryland","MD","8","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443022732840199,0.177695856197817,0.228166903320048,0.620854893641334,0.515932555244229,1050
"304","Gus Michael Bilirakis","Florida","FL","12","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.752587357859445,0.637344125705978,0.622974847312229,-0.286599004641279,-0.269770735232412,449121.65
"305","Guy Ciarrocchi","Pennsylvania","PA","6","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692323079658606,0.42041302007656,0.426129824238725,0.14714202271707,0.124691017420069,562532.79
"306","Gwen Moore","Wisconsin","WI","4","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.410227035185974,0.755584924842059,0.736399225884793,0.528217268172246,0.494662146778315,133740.16
"307","H. Morgan Griffith","Virginia","VA","9","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.859058840883427,0.702219320823543,0.696857196019883,-0.418947572999385,-0.405711450368152,127967.64
"308","Hakeem S. Jeffries","New York","NY","8","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.275702341911935,0.760494241786393,0.821373080486024,0.530157887131984,0.658033653068527,1337545.07
"309","Haley Stevens","Michigan","MI","11","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.683000072205145,0.59254668328055,0.579692726799271,0.198365003547756,0.183627786791659,2010690.52
"310","Hank Linderman","Kentucky","KY","2","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835419962395402,0.308616887029479,0.346735872998731,-0.365735951160173,-0.285810227057966,51135
"311","Harold ""Hal"" Rogers","Kentucky","KY","5","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.937023035448678,0.79029667047405,0.715574723853695,-0.59325543468302,-0.44627337942394,173825
"312","Harriet Hageman","Wyoming","WY","At-Large","GOP",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.814185985635805,0.699362274854118,0.694501235653402,-0.433826531533973,-0.430506767283142,2568037.74
"313","Heather R. Mizeur","Maryland","MD","1","DEM",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.720520790736437,0.414822529275706,0.369174094566678,-0.144500284582874,-0.23221854639488,266342.65
"314","Heidi Campbell","Tennessee","TN","5","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691814119819605,0.432171190780348,0.426748463830797,-0.112992274922831,-0.118964107703262,792678.34
"315","Henry C. ""Hank"" Johnson Jr.","Georgia","GA","4","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.258171433799264,0.78305044796808,0.757643294814853,0.577066503548109,0.53143369850854,36692.66
"316","Henry Cuellar","Texas","TX","28","DEM",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.172314524235743,0.52834925447356,0.551980310145409,0.0703578045670011,0.125009437238588,1491690.08
"317","Henry Martin","Missouri","MO","6","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86231224751873,0.305788142141867,0.315874506099598,-0.37102118155162,-0.33709062424403,24950
"318","Herbert C. ""Herb"" Jones Jr.","Virginia","VA","1","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707589103558022,0.457370930910873,0.441430833168415,-0.0666169336563087,-0.0998862062141302,225079.78
"319","Herschel Junior Walker","Georgia","GA","N/A","GOP",0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.500578981820979,0.492516928139383,0.510627434533236,0.00253476955603721,-0.0387860799520469,16541847.42
"320","Hillary Scholten","Michigan","MI","3","DEM",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.70149236407906,0.532740658291493,0.501814318861648,0.0849335639424564,0.0361633725643678,1926137.41
"321","Homer ""Chip"" Markel","Illinois","IL","12","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868624092283564,0.277159097727101,0.31023697262161,-0.427773560492822,-0.339651050024318,15254
"322","Hung Cao","Virginia","VA","10","GOP",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.527262758598706,0.400104159096965,0.429925770299995,0.179974808032362,0.122026314109447,1388144.75
"323","Ike McCorkle","Colorado","CO","4","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75760119923413,0.394755468518565,0.359276511946094,-0.18550336602497,-0.243366576243841,87483.5800000001
"324","Ilhan Omar","Minnesota","MN","5","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.59939409402898,0.802561293661841,0.7692065867847,0.628846086200572,0.592969199909862,729664.900000003
"325","Irene Armendariz-Jackson","Texas","TX","16","GOP",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.117337213456308,0.315248714674002,0.290020142652797,0.354189180338606,0.389838177625113,100723.52
"326","Iro Omere","Texas","TX","4","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595066148448409,0.363101483383668,0.339391850843941,-0.259053045892726,-0.301871911381747,33952.52
"327","J.D. Vance","Ohio","OH","N/A","GOP",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.758860499236913,0.532876943709694,0.524149934505387,-0.0803443360054591,-0.0706992673592829,7553683.33000012
"328","J.R. Majewski","Ohio","OH","9","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744738949696808,0.506062198075371,0.486328785317556,-0.0291820965902539,0.00147005554213958,556676.29
"329","Jack Bergman","Michigan","MI","1","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.894452361760439,0.591206381286147,0.575267585430602,-0.197794070219948,-0.17779426926391,382353.51
"330","Jack Truman","Missouri","MO","4","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833155697433205,0.292111753506021,0.299322588180332,-0.396131527010489,-0.368558747956085,0
"331","Jackie Gordon","New York","NY","2","DEM",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.558127652126012,0.485630824640459,0.521035666736739,-0.0149708301175924,0.0593686497092005,891717.95
"332","Jackie Walorski","Indiana","IN","2","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.759475135520136,0.603582024376774,0.575768747322814,-0.22569386470762,-0.183530303987866,216723
"333","Jacob Turk","Missouri","MO","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578701368922903,0.358442929278521,0.359028556374486,0.263095883376601,0.249382738740726,10900
"334","Jahana Hayes","Connecticut","CT","5","DEM",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.633391524274497,0.546186435935034,0.521453481756173,0.10742508870706,0.0655887491381792,811262.01
"335","Jake Auchincloss","Massachusetts","MA","4","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.779143083562603,0.630245271337841,0.575092857447808,0.283370741933248,0.172864278700423,617137.19
"336","Jake LaTurner","Kansas","KS","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.697791604830694,0.569988895835472,0.552769795572458,-0.1631130229766,-0.148914123340206,329230.75
"337","Jamaal Bowman","New York","NY","16","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.396165365245292,0.713368352459242,0.726553955864507,0.436826373868431,0.469460216632459,554661.43
"338","James ""Jimmy"" Beard","Kansas","KS","1","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745538960066442,0.341181553083486,0.332002706120295,-0.295906685387191,-0.295207971011926,8870
"339","James E. ""Jim"" Clyburn","South Carolina","SC","6","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.415836073106821,0.653416455590834,0.648500333106683,0.32114444721915,0.313415614118229,457714.72
"340","James Falakos","Illinois","IL","4","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234102937995985,0.258699845043025,0.244478612705891,0.463939533810293,0.46295486498051,0
"341","James Judge","Florida","FL","14","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463903091569263,0.39699297038208,0.39558083191257,0.19115935325482,0.188249381929124,69800
"342","James Lankford","Oklahoma","OK","N/A","GOP",0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.607975090879747,0.65373271848063,0.638263765075281,-0.330870975120763,-0.314905551502384,1328279.95
"343","James P. McGovern","Massachusetts","MA","2","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.707913573276695,0.640254271397235,0.58242370796823,0.306843794650943,0.191763085480698,244201
"344","James R. Comer","Kentucky","KY","1","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.838365693573537,0.706396653918064,0.661127129404296,-0.427744974910068,-0.338664559305894,279825
"345","James Rodgers","Texas","TX","30","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177278102497174,0.210158182423459,0.212823068290313,0.567402035359266,0.555924523877322,39505
"346","Jamie Kaye Jordan","Texas","TX","22","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423046283704939,0.412265336146365,0.387350871826247,-0.160360720605657,-0.206241168844411,0
"347","Jamie McLeod-Skinner","Oregon","OR","5","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787877243139071,0.528044954343245,0.506277892876029,0.087761648325919,0.060060850217012,1822381.67
"348","Jamie Raskin","Maryland","MD","8","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.443022732840199,0.798550749839152,0.744099458564277,0.620854893641334,0.515932555244229,951393.17
"349","Jan C. Perry","California","CA","37","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.131523585461469,0.856949797287151,0.880063465049903,0.732794434155864,0.775660798808701,556304.08
"350","Jan McDowell","Texas","TX","24","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616013048461056,0.430202760074066,0.39106141958755,-0.123446307454655,-0.195244859108028,82940.31
"351","Jan Schneider","Florida","FL","16","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598284498213127,0.449473768857936,0.427200300916933,-0.0886831671828662,-0.124695537426544,250
"352","Janice D. Schakowsky","Illinois","IL","9","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.592278920545539,0.698444751199632,0.669130769552164,0.413572602379544,0.376363115453715,396270
"353","Jared Golden","Maine","ME","2","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.908668780645351,0.454850727095216,0.412340371370791,-0.0611325214531628,-0.116751283392966,1806020.16
"354","Jared Huffman","California","CA","2","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.647503454184068,0.735215270212665,0.721992606877041,0.494775730592526,0.467261394968477,251926.08
"355","Jared Moskowitz","Florida","FL","23","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.551736107048559,0.561986570685379,0.565234735125168,0.131645998427197,0.142283053211356,1062849.05
"356","Jasmine Beach-Ferrara","North Carolina","NC","11","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821938897985841,0.441463347431358,0.43904395056928,-0.101349644794063,-0.0972234710864308,549008.58
"357","Jasmine Crockett","Texas","TX","30","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.177278102497174,0.777560217782726,0.768747592167635,0.567402035359266,0.555924523877322,438349.38
"358","Jason Crow","Colorado","CO","6","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.558335330984188,0.605842611144838,0.561576179119903,0.237896722520264,0.163646785244407,842525.63
"359","Jason Smith","Missouri","MO","8","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.868376997104102,0.74934140554692,0.716372930495155,-0.512997354713791,-0.459334706645304,552198.18
"360","Javier Garcia Ramos","Arizona","AZ","5","DEM",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.670568780738272,0.410393629865277,0.395640558102674,-0.163658707192273,-0.189388990876811,7570.9
"361","Jay F. Chen","California","CA","45","DEM",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.252070065163713,0.521367688895858,0.522234169954291,0.0618405725678188,0.0631943120803559,2087876.46
"362","Jay Obernolte","California","CA","23","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.397122875133776,0.53712261605949,0.56424846924425,-0.0982664383400971,-0.146545792855752,186117.48
"363","Jayme Stevenson","Connecticut","CT","4","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569241904687953,0.337011906069645,0.37690964348809,0.312008314813719,0.229898400536088,358595.44
"364","Jeanne Hendricks","Minnesota","MN","6","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840531212148401,0.399718531835062,0.393285405936297,-0.175948930878841,-0.159676461519135,27507.88
"365","Jeannine Lee Lake","Indiana","IN","5","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811204235841511,0.410264539941141,0.396198834861575,-0.159385179042757,-0.173650086943811,11811.55
"366","Jeff Ettinger","Minnesota","MN","1","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824160849895768,0.442073554051939,0.449976506467371,-0.0917924598501002,-0.0482193675363706,643370
"367","Jeff Gorman","California","CA","19","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4825013677501,0.29059070563646,0.304660007304814,0.395917288602451,0.369585886636249,23841.7
"368","Jeff Jackson","North Carolina","NC","14","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.570742324698158,0.573278810712572,0.549116061204802,0.163618913427472,0.123825218149372,1219102.78
"369","Jeff Van Drew","New Jersey","NJ","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.635847743936251,0.518498928746402,0.542522463188597,-0.0502282659828843,-0.103357325430054,651304.06
"370","Jeff Warner","Maryland","MD","4","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106563004086548,0.086231872156618,0.105508866716374,0.806024274475668,0.76798914937223,8440
"371","Jeff Zink","Arizona","AZ","3","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195664047358963,0.238816179289673,0.235805052481965,0.506243247011258,0.505789654763986,6930
"372","Jeffrey A. Sossa-Paquette","Massachusetts","MA","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707913573276695,0.333410476746292,0.390660622487532,0.306843794650943,0.191763085480698,18410
"373","Jen A. Kiggans","Virginia","VA","2","GOP",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.58684326452247,0.479656852435165,0.500610160343098,0.0204705783377583,-0.0179029258361837,1476389.06
"374","Jen Schultz","Minnesota","MN","8","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869704981831232,0.432527444394137,0.44964537068671,-0.112804697370885,-0.0507359070720874,322145
"375","Jennifer Lewis","Virginia","VA","6","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781166526213642,0.379777708705156,0.372851764314643,-0.220985320953737,-0.2385862916731,80729.65
"376","Jennifer Qualteri","Colorado","CO","1","GOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544488537010506,0.182166416244472,0.199616300302799,0.612940409585004,0.56448928645725,0
"377","Jennifer T. Wexton","Virginia","VA","10","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.527262758598706,0.580078967129327,0.551952084409442,0.179974808032362,0.122026314109447,1417322.76
"378","Jennifer-Ruth Green","Indiana","IN","1","GOP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593710167956103,0.45014323619884,0.409675214787816,0.0835583628806913,0.154897813069513,1167444.73
"379","Jenny Garcia Sharon","Texas","TX","37","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52471293516057,0.225813075221641,0.236983429031488,0.526265585078871,0.494539749385851,10500
"380","Jeremiah A. Ross","Oklahoma","OK","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601138316720779,0.274630096144543,0.273976393584638,-0.427999096965158,-0.415109549649273,0
