"","index","Candidate","State","Office","District","Party","Candidate_processed","Last_name","District_processed","State_processed","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID"
"183","182","Anna G. Eshoo","California","Representative","16","DEM","Anna G. Eshoo","ESHOO","16","CA","67","ESHOO, ANNA G.","DEM","H8CA12098"
"184","183","Rishi Kumar","California","Representative","16","DEM","Rishi Kumar","KUMAR","16","CA","64","KUMAR, RISHI","DEM","H0CA18068"
"185","184","Ro Khanna","California","Representative","17","DEM","Ro Khanna","KHANNA","17","CA","74","KHANNA, ROHIT","DEM","H4CA12055"
"186","185","Zoe Lofgren","California","Representative","18","DEM","Zoe Lofgren","LOFGREN","18","CA","77","LOFGREN, ZOE","DEM","H4CA16049"
"187","186","Jimmy Panetta","California","Representative","19","DEM","Jimmy Panetta","PANETTA","19","CA","79","PANETTA, JIMMY","DEM","H6CA20152"
"188","187","Marisa Wood","California","Representative","20","DEM","Marisa Wood","WOOD","20","CA","85","WOOD, MARISA","DEM","H2CA23155"
"189","188","Jim Costa","California","Representative","21","DEM","Jim Costa","COSTA","21","CA","89","COSTA, JIM","DEM","H4CA20082"
"190","189","Rudy Salas","California","Representative","22","DEM","Rudy Salas","SALAS","22","CA","97","SALAS, RUDY","DEM","H2CA21233"
"191","190","Derek Marshall","California","Representative","23","DEM","Derek Marshall","MARSHALL","23","CA","105","MARSHALL, DEREK","DEM","H2CA08214"
"192","191","Salud Carbajal","California","Representative","24","DEM","Salud Carbajal","CARBAJAL","24","CA","110","CARBAJAL, SALUD O.","DEM","H6CA24303"
"193","192","Raul Ruiz","California","Representative","25","DEM","Raul Ruiz","RUIZ","25","CA","121","RUIZ, RAUL DR.","DEM","H2CA36439"
"194","193","Julia Brownley","California","Representative","26","DEM","Julia Brownley","BROWNLEY","26","CA","132","BROWNLEY, JULIA","DEM","H2CA00120"
"195","194","Christy Smith","California","Representative","27","DEM","Christy Smith","SMITH","27","CA","136","SMITH, CHRISTY","DEM","H0CA25154"
"196","195","Judy Chu","California","Representative","28","DEM","Judy Chu","CHU","28","CA","140","CHU, JUDY","DEM","H0CA32101"
"197","196","Tony Cardenas","California","Representative","29","DEM","Tony Cardenas","CARDENAS","29","CA","147","CARDENAS, TONY","DEM","H2CA28113"
"198","197","Angélica María Dueñas","California","Representative","29","DEM","Angélica María Dueñas","DUEÑAS","29","CA",NA,NA,NA,NA
"199","198","G ""Maebe A. Girl"" Pudlo","California","Representative","30","DEM","G ""Maebe A. Girl"" Pudlo","PUDLO","30","CA","152","PUDLO, G MAEBE A. GIRL","DEM","H0CA28174"
"200","199","Adam B. Schiff","California","Representative","30","DEM","Adam B. Schiff","SCHIFF","30","CA","151","SCHIFF, ADAM","DEM","H0CA27085"
"201","200","Grace F. Napolitano","California","Representative","31","DEM","Grace F. Napolitano","NAPOLITANO","31","CA","159","NAPOLITANO, GRACE","DEM","H8CA34068"
"202","201","Brad Sherman","California","Representative","32","DEM","Brad Sherman","SHERMAN","32","CA","172","SHERMAN, BRAD","DEM","H6CA24113"
"203","202","Pete Aguilar","California","Representative","33","DEM","Pete Aguilar","AGUILAR","33","CA","177","AGUILAR, PETE","DEM","H2CA31125"
"204","203","Jimmy Gomez","California","Representative","34","DEM","Jimmy Gomez","GOMEZ","34","CA","191","GOMEZ, JIMMY","DEM","H8CA34266"
"205","204","David Kim","California","Representative","34","DEM","David Kim","KIM","34","CA","184","KIM, DAVID","DEM","H0CA34131"
"206","204","David Kim","California","Representative","34","DEM","David Kim","KIM","34","CA","186","KIM, DAVID YUNG HO","DEM","H2CA34079"
"207","205","Norma J. Torres","California","Representative","35","DEM","Norma J. Torres","TORRES","35","CA","194","TORRES, NORMA","DEM","H4CA35031"
"208","206","Ted W. Lieu","California","Representative","36","DEM","Ted W. Lieu","LIEU","36","CA","197","LIEU, TED","DEM","H4CA33119"
"209","207","Sydney Kamlager","California","Representative","37","DEM","Sydney Kamlager","KAMLAGER","37","CA","206","KAMLAGER, SYDNEY","DEM","H2CA37304"
"210","208","Jan C. Perry","California","Representative","37","DEM","Jan C. Perry","PERRY","37","CA","207","PERRY, JAN","DEM","H2CA37312"
"211","209","Linda T. Sánchez","California","Representative","38","DEM","Linda T. Sánchez","SÁNCHEZ","38","CA",NA,NA,NA,NA
"212","210","Mark Takano","California","Representative","39","DEM","Mark Takano","TAKANO","39","CA","216","TAKANO, MARK","DEM","H2CA43245"
"213","211","Asif Mahmood","California","Representative","40","DEM","Asif Mahmood","MAHMOOD","40","CA","225","MAHMOOD, ASIF DR.","DEM","H2CA40092"
"214","212","Will Rollins","California","Representative","41","DEM","Will Rollins","ROLLINS","41","CA","233","ROLLINS, WILL","DEM","H2CA42205"
"215","213","Robert Garcia","California","Representative","42","DEM","Robert Garcia","GARCIA","42","CA","239","GARCIA, CRISTINA","DEM","H2CA42213"
"216","213","Robert Garcia","California","Representative","42","DEM","Robert Garcia","GARCIA","42","CA","242","GARCIA, ROBERT","DEM","H2CA47188"
"217","214","Maxine Waters","California","Representative","43","DEM","Maxine Waters","WATERS","43","CA","244","WATERS, MAXINE","DEM","H4CA23011"
"218","215","Nanette Diaz Barragan","California","Representative","44","DEM","Nanette Diaz Barragan","BARRAGAN","44","CA","247","BARRAGAN, NANETTE","DEM","H6CA44103"
"219","216","Jay F. Chen","California","Representative","45","DEM","Jay F. Chen","CHEN","45","CA","248","CHEN, JAY","DEM","H2CA39136"
"220","217","Lou Correa","California","Representative","46","DEM","Lou Correa","CORREA","46","CA","256","CORREA, LOU","DEM","H6CA46116"
"221","218","Katie Porter","California","Representative","47","DEM","Katie Porter","PORTER","47","CA","261","PORTER, KATHERINE","DEM","H8CA45130"
"222","219","Stephen Houlahan","California","Representative","48","DEM","Stephen Houlahan","HOULAHAN","48","CA","271","HOULAHAN, STEPHEN WILLIAM","DEM","H2CA50174"
"223","220","Mike Levin","California","Representative","49","DEM","Mike Levin","LEVIN","49","CA","279","LEVIN, MIKE","DEM","H8CA49058"
"224","221","Scott Peters","California","Representative","50","DEM","Scott Peters","PETERS","50","CA","291","PETERS, SCOTT","DEM","H2CA52089"
"225","222","Sara Jacobs","California","Representative","51","DEM","Sara Jacobs","JACOBS","51","CA","302","JACOBS, SARA","DEM","H8CA49074"
"226","223","Juan Vargas","California","Representative","52","DEM","Juan Vargas","VARGAS","52","CA","306","VARGAS, JUAN C.","DEM","H2CA50026"
"227","224","Jennifer Lewis","Virginia","Representative","6","DEM","Jennifer Lewis","LEWIS","6","VA","2952","LEWIS, JENNIFER","DEM","H8VA06138"
"228","225","Chellie Pingree","Maine","Representative","1","DEM","Chellie Pingree","PINGREE","1","ME","1305","PINGREE, CHELLIE M","DEM","H8ME01120"
"229","226","Jared Golden","Maine","Representative","2","DEM","Jared Golden","GOLDEN","2","ME","1309","GOLDEN, JARED","DEM","H8ME02185"
"230","227","Catherine Cortez Masto","Nevada","Senator","N/A","DEM","Catherine Cortez Masto","MASTO","0","NV",NA,NA,NA,NA
"231","228","Dina Titus","Nevada","Representative","1","DEM","Dina Titus","TITUS","1","NV","1877","TITUS, DINA","DEM","H8NV03036"
"232","229","Elizabeth Mercedes Krause","Nevada","Representative","2","DEM","Elizabeth Mercedes Krause","KRAUSE","2","NV","1891","KRAUSE, E M","DEM","H2NV02551"
"233","230","Susie Lee","Nevada","Representative","3","DEM","Susie Lee","LEE","3","NV","1896","LEE, SUSIE","DEM","H6NV04020"
"234","231","Steven A. Horsford","Nevada","Representative","4","DEM","Steven A. Horsford","HORSFORD","4","NV","1907","HORSFORD, STEVEN ALEXZANDER","DEM","H2NV04011"
"235","232","Krystle Matthews","South Carolina","Senator","N/A","DEM","Krystle Matthews","MATTHEWS","0","SC","3781","MATTHEWS, KRYSTLE","DEM","S2SC00103"
"236","233","Annie Andrews","South Carolina","Representative","1","DEM","Annie Andrews","ANDREWS","1","SC","2441","ANDREWS, ANNIE DR.","DEM","H2SC01127"
"237","234","Judd Larkins","South Carolina","Representative","2","DEM","Judd Larkins","LARKINS","2","SC","2456","LARKINS, JUDDSON","DEM","H2SC02182"
"238","235","Ken Hill","South Carolina","Representative","4","DEM","Ken Hill","HILL","4","SC",NA,NA,NA,NA
"239","236","Evangeline Hundley","South Carolina","Representative","5","DEM","Evangeline Hundley","HUNDLEY","5","SC",NA,NA,NA,NA
"240","237","James E. ""Jim"" Clyburn","South Carolina","Representative","6","DEM","James E. ""Jim"" Clyburn","CLYBURN","6","SC","2473","CLYBURN, JAMES E.","DEM","H2SC02042"
"241","238","Daryl W. Scott","South Carolina","Representative","7","DEM","Daryl W. Scott","SCOTT","7","SC",NA,NA,NA,NA
"242","239","Katrina Christiansen","North Dakota","Senator","N/A","DEM","Katrina Christiansen","CHRISTIANSEN","0","ND","3621","CHRISTIANSEN, KATRINA","DEM","S2ND00123"
"243","240","Mark Haugen","North Dakota","Representative","At-Large","DEM","Mark Haugen","HAUGEN","0","ND","1709","HAUGEN, MARK","DEM","H2ND01014"
"244","241","Herbert C. ""Herb"" Jones Jr.","Virginia","Representative","1","DEM","Herbert C. ""Herb"" Jones Jr.","JR.","1","VA",NA,NA,NA,NA
"245","242","Elaine G. Luria","Virginia","Representative","2","DEM","Elaine G. Luria","LURIA","2","VA","2928","LURIA, ELAINE","DEM","H8VA02111"
"246","243","Robert C. ""Bobby"" Scott","Virginia","Representative","3","DEM","Robert C. ""Bobby"" Scott","SCOTT","3","VA","2936","SCOTT, ROBERT C","DEM","H6VA01117"
"247","244","A. Donald McEachin","Virginia","Representative","4","DEM","A. Donald McEachin","MCEACHIN","4","VA","2940","MCEACHIN, ASTON DONALD","DEM","H6VA04061"
"248","245","Joshua M. Throneburg","Virginia","Representative","5","DEM","Joshua M. Throneburg","THRONEBURG","5","VA","2945","THRONEBURG, JOSHUA","DEM","H2VA05091"
"249","246","Abigail A. Spanberger","Virginia","Representative","7","DEM","Abigail A. Spanberger","SPANBERGER","7","VA","2956","SPANBERGER, ABIGAIL","DEM","H8VA07094"
"250","247","Donald S. Beyer Jr.","Virginia","Representative","8","DEM","Donald S. Beyer Jr.","JR.","8","VA",NA,NA,NA,NA
"251","248","Jennifer T. Wexton","Virginia","Representative","10","DEM","Jennifer T. Wexton","WEXTON","10","VA","2986","WEXTON, JENNIFER","DEM","H8VA10106"
"252","249","Gerald E. ""Gerry"" Connolly","Virginia","Representative","11","DEM","Gerald E. ""Gerry"" Connolly","CONNOLLY","11","VA","3006","CONNOLLY, GERALD EDWARD","DEM","H8VA11062"
"253","250","Michael Bennet","Colorado","Senator","N/A","DEM","Michael Bennet","BENNET","0","CO","3319","BENNET, MICHAEL F.","DEM","S0CO00211"
"254","251","Diana DeGette","Colorado","Representative","1","DEM","Diana DeGette","DEGETTE","1","CO","317","DEGETTE, DIANA L","DEM","H6CO01141"
"255","252","Joe Neguse","Colorado","Representative","2","DEM","Joe Neguse","NEGUSE","2","CO","320","NEGUSE, JOSEPH","DEM","H8CO02160"
"256","253","Adam Frisch","Colorado","Representative","3","DEM","Adam Frisch","FRISCH","3","CO","333","FRISCH, ADAM","DEM","H2CO03351"
"257","254","Ike McCorkle","Colorado","Representative","4","DEM","Ike McCorkle","MCCORKLE","4","CO","341","MCCORKLE, ISAAC IAN","DEM","H0CO04197"
"258","255","David Torres","Colorado","Representative","5","DEM","David Torres","TORRES","5","CO",NA,NA,NA,NA
"259","256","Jason Crow","Colorado","Representative","6","DEM","Jason Crow","CROW","6","CO","356","CROW, JASON","DEM","H8CO06229"
"260","257","Brittany Pettersen","Colorado","Representative","7","DEM","Brittany Pettersen","PETTERSEN","7","CO","365","PETTERSEN, BRITTANY LOUISE MS.","DEM","H8CO07045"
"261","258","Yadira Caraveo","Colorado","Representative","8","DEM","Yadira Caraveo","CARAVEO","8","CO","373","CARAVEO, YADIRA","DEM","H2CO08020"
"262","259","Tammy Duckworth","Illinois","Senator","N/A","DEM","Tammy Duckworth","DUCKWORTH","0","IL","3443","DUCKWORTH, L. TAMMY","DEM","S6IL00292"
"263","260","Jonathan L. Jackson","Illinois","Representative","1","DEM","Jonathan L. Jackson","JACKSON","1","IL","904","JACKSON, JONATHAN","DEM","H2IL01349"
"264","261","Robin Kelly","Illinois","Representative","2","DEM","Robin Kelly","KELLY","2","IL","911","KELLY, ROBIN","DEM","H2IL02172"
"265","262","Delia Ramirez","Illinois","Representative","3","DEM","Delia Ramirez","RAMIREZ","3","IL","915","RAMIREZ, DELIA","DEM","H2IL03162"
"266","263","Jesus ""Chuy"" Garcia","Illinois","Representative","4","DEM","Jesus ""Chuy"" Garcia","GARCIA","4","IL","921","GARCIA, JESUS","DEM","H8IL04134"
"267","264","Mike Quigley","Illinois","Representative","5","DEM","Mike Quigley","QUIGLEY","5","IL","923","QUIGLEY, MIKE","DEM","H0IL05096"
"268","265","Sean Casten","Illinois","Representative","6","DEM","Sean Casten","CASTEN","6","IL","935","CASTEN, SEAN","DEM","H8IL06139"
"269","266","Danny K. Davis","Illinois","Representative","7","DEM","Danny K. Davis","DAVIS","7","IL","944","DAVIS, DANNY K. MR.","DEM","H4IL07037"
"270","267","Raja Krishnamoorthi","Illinois","Representative","8","DEM","Raja Krishnamoorthi","KRISHNAMOORTHI","8","IL","947","KRISHNAMOORTHI, S. RAJA","DEM","H6IL08147"
"271","268","Janice D. Schakowsky","Illinois","Representative","9","DEM","Janice D. Schakowsky","SCHAKOWSKY","9","IL","954","SCHAKOWSKY, JANICE D","DEM","H8IL09067"
"272","269","Brad Schneider","Illinois","Representative","10","DEM","Brad Schneider","SCHNEIDER","10","IL","958","SCHNEIDER, BRADLEY S.","DEM","H2IL10068"
"273","270","Bill Foster","Illinois","Representative","11","DEM","Bill Foster","FOSTER","11","IL","964","FOSTER, G. WILLIAM (BILL)","DEM","H8IL14067"
"274","271","Homer ""Chip"" Markel","Illinois","Representative","12","DEM","Homer ""Chip"" Markel","MARKEL","12","IL","977","MARKEL, HOMER CHIP MR.","DEM","H2IL12197"
"275","272","Nikki Budzinski","Illinois","Representative","13","DEM","Nikki Budzinski","BUDZINSKI","13","IL","981","BUDZINSKI, NIKKI","DEM","H2IL13153"
"276","273","Lauren Underwood","Illinois","Representative","14","DEM","Lauren Underwood","UNDERWOOD","14","IL","987","UNDERWOOD, LAUREN","DEM","H8IL14174"
"277","274","Paul J. Lange","Illinois","Representative","15","DEM","Paul J. Lange","LANGE","15","IL","1001","LANGE, PAUL","DEM","H2IL15109"
"278","275","Eric Sorensen","Illinois","Representative","17","DEM","Eric Sorensen","SORENSEN","17","IL","1022","SORENSEN, ERIC","DEM","H2IL17147"
"279","276","Charles E. Schumer","New York","Senator","N/A","DEM","Charles E. Schumer","SCHUMER","0","NY","3682","SCHUMER, CHARLES E.","DEM","S8NY00082"
"280","277","Madison Horn","Oklahoma","Senator","N/A","DEM","Madison Horn","HORN","0","OK","3718","HORN, MADISON","DEM","S2OK00152"
"281","277","Madison Horn","Oklahoma","Senator","N/A","DEM","Madison Horn","HORN","0","OK","3720","HORN, KENDRA","DEM","S2OK00228"
"282","278","Kendra Horn","Oklahoma","Senator","N/A","DEM","Kendra Horn","HORN","0","OK","3718","HORN, MADISON","DEM","S2OK00152"
"283","278","Kendra Horn","Oklahoma","Senator","N/A","DEM","Kendra Horn","HORN","0","OK","3720","HORN, KENDRA","DEM","S2OK00228"
"284","279","Adam Martin","Oklahoma","Representative","1","DEM","Adam Martin","MARTIN","1","OK","2235","MARTIN, ADAM","DEM","H2OK01176"
"285","280","Naomi Andrews","Oklahoma","Representative","2","DEM","Naomi Andrews","ANDREWS","2","OK","2240","ANDREWS, NAOMI","DEM","H2OK02307"
"286","281","Jeremiah A. Ross","Oklahoma","Representative","3","DEM","Jeremiah A. Ross","ROSS","3","OK",NA,NA,NA,NA
"287","282","Mary Brannon","Oklahoma","Representative","4","DEM","Mary Brannon","BRANNON","4","OK","2259","BRANNON, MARY","DEM","H8OK04094"
"288","283","Joshua Harris-Till","Oklahoma","Representative","5","DEM","Joshua Harris-Till","HARRIS-TILL","5","OK","2263","HARRIS-TILL, JOSHUA","DEM","H2OK05169"
"289","284","Rick Edwin Jones","Utah","Representative","1","DEM","Rick Edwin Jones","JONES","1","UT",NA,NA,NA,NA
"290","285","Nick Mitchell","Utah","Representative","2","DEM","Nick Mitchell","MITCHELL","2","UT","2895","MITCHELL, NICHOLAS","DEM","H2UT02464"
"291","285","Nick Mitchell","Utah","Representative","2","DEM","Nick Mitchell","MITCHELL","2","UT","2897","MITCHELL, NICHOLAS","DEM","H2UT02498"
"292","286","Glenn J. Wright","Utah","Representative","3","DEM","Glenn J. Wright","WRIGHT","3","UT","2907","WRIGHT, GLENN","DEM","H2UT03306"
"293","287","Darlene McDonald","Utah","Representative","4","DEM","Darlene McDonald","MCDONALD","4","UT","2914","MCDONALD, DARLENE","DEM","H8UT04046"
"294","288","Chris Van Hollen","Maryland","Senator","N/A","DEM","Chris Van Hollen","HOLLEN","0","MD",NA,NA,NA,NA
"295","289","Heather R. Mizeur","Maryland","Representative","1","DEM","Heather R. Mizeur","MIZEUR","1","MD","1242","MIZEUR, HEATHER RENAY","DEM","H2MD01220"
"296","290","C.A. Dutch Ruppersberger","Maryland","Representative","2","DEM","C.A. Dutch Ruppersberger","RUPPERSBERGER","2","MD","1248","RUPPERSBERGER, C. A. DUTCH","DEM","H2MD02160"
"297","291","John Sarbanes","Maryland","Representative","3","DEM","John Sarbanes","SARBANES","3","MD","1260","SARBANES, JOHN P. MR.","DEM","H6MD03292"
"298","292","Glenn F. Ivey","Maryland","Representative","4","DEM","Glenn F. Ivey","IVEY","4","MD","1267","IVEY, GLENN","DEM","H2MD04315"
"299","293","Steny Hoyer","Maryland","Representative","5","DEM","Steny Hoyer","HOYER","5","MD","1277","HOYER, STENY","DEM","H2MD05155"
"300","294","David J. Trone","Maryland","Representative","6","DEM","David J. Trone","TRONE","6","MD","1286","TRONE, DAVID","DEM","H6MD08549"
"301","295","Kweisi Mfume","Maryland","Representative","7","DEM","Kweisi Mfume","MFUME","7","MD","1296","MFUME, KWEISI","DEM","H6MD07020"
"302","296","Jamie Raskin","Maryland","Representative","8","DEM","Jamie Raskin","RASKIN","8","MD","1300","RASKIN, JAMIE","DEM","H6MD08457"
"303","297","Mark Kelly","Arizona","Senator","N/A","DEM","Mark Kelly","KELLY","0","AZ","3282","KELLY, MARK","DEM","S0AZ00350"
"304","298","Jevin D. Hodge","Arizona","Representative","1","DEM","Jevin D. Hodge","HODGE","1","AZ",NA,NA,NA,NA
"305","299","Tom O'Halleran","Arizona","Representative","2","DEM","Tom O'Halleran","O'HALLERAN","2","AZ",NA,NA,NA,NA
"306","300","Ruben Gallego","Arizona","Representative","3","DEM","Ruben Gallego","GALLEGO","3","AZ",NA,NA,NA,NA
"307","301","Greg Stanton","Arizona","Representative","4","DEM","Greg Stanton","STANTON","4","AZ",NA,NA,NA,NA
"308","302","Javier Garcia Ramos","Arizona","Representative","5","DEM","Javier Garcia Ramos","RAMOS","5","AZ",NA,NA,NA,NA
"309","303","Kirsten Engel","Arizona","Representative","6","DEM","Kirsten Engel","ENGEL","6","AZ",NA,NA,NA,NA
"310","304","Raúl Grijalva","Arizona","Representative","7","DEM","Raúl Grijalva","GRIJALVA","7","AZ",NA,NA,NA,NA
"311","305","Mark R. Holland","Kansas","Senator","N/A","DEM","Mark R. Holland","HOLLAND","0","KS","3475","HOLLAND, MARK R. REV.","DEM","S2KS00113"
"312","306","James ""Jimmy"" Beard","Kansas","Representative","1","DEM","James ""Jimmy"" Beard","BEARD","1","KS","1097","BEARD, JAMES KENNETH","DEM","H2KS01079"
"313","307","Patrick Schmidt","Kansas","Representative","2","DEM","Patrick Schmidt","SCHMIDT","2","KS","1103","SCHMIDT, PATRICK","DEM","H2KS02143"
"314","308","Sharice Davids","Kansas","Representative","3","DEM","Sharice Davids","DAVIDS","3","KS","1107","DAVIDS, SHARICE","DEM","H8KS03155"
"315","309","Bob Hernandez","Kansas","Representative","4","DEM","Bob Hernandez","HERNANDEZ","4","KS","1113","HERNANDEZ, BOB MR","DEM","H2KS04149"
"316","310","Bob Lorinser","Michigan","Representative","1","DEM","Bob Lorinser","LORINSER","1","MI","1319","LORINSER, ROBERT JAMES","DEM","H2MI01142"
"317","311","Jerry Hilliard","Michigan","Representative","2","DEM","Jerry Hilliard","HILLIARD","2","MI","1322","HILLIARD, JEROME C","DEM","H8MI04101"
"318","312","Hillary Scholten","Michigan","Representative","3","DEM","Hillary Scholten","SCHOLTEN","3","MI","1326","SCHOLTEN, HILLARY","DEM","H0MI03316"
"319","313","Bart Goldberg","Michigan","Representative","5","DEM","Bart Goldberg","GOLDBERG","5","MI","1339","GOLDBERG, BARTLEY F.","DEM","H2MI05176"
"320","314","Debbie Dingell","Michigan","Representative","6","DEM","Debbie Dingell","DINGELL","6","MI","1345","DINGELL, DEBBIE","DEM","H4MI12079"
"321","315","Elissa Slotkin","Michigan","Representative","7","DEM","Elissa Slotkin","SLOTKIN","7","MI","1352","SLOTKIN, ELISSA","DEM","H8MI08102"
"322","316","Daniel T. Kildee","Michigan","Representative","8","DEM","Daniel T. Kildee","KILDEE","8","MI","1356","KILDEE, DANIEL T DANIEL T.","DEM","H2MI05119"
"323","317","Brian Jaye","Michigan","Representative","9","DEM","Brian Jaye","JAYE","9","MI","1361","JAYE, BRIAN STEVEN","DEM","H2MI08154"
"324","318","Carl J. Marlinga","Michigan","Representative","10","DEM","Carl J. Marlinga","MARLINGA","10","MI","1368","MARLINGA, CARL","DEM","H2MI10176"
"325","319","Haley Stevens","Michigan","Representative","11","DEM","Haley Stevens","STEVENS","11","MI","1380","STEVENS, HALEY","DEM","H8MI11254"
"326","320","Rashida Tlaib","Michigan","Representative","12","DEM","Rashida Tlaib","TLAIB","12","MI","1391","TLAIB, RASHIDA","DEM","H8MI13250"
"327","321","Shri Thanedar","Michigan","Representative","13","DEM","Shri Thanedar","THANEDAR","13","MI","1397","THANEDAR, SHRI","DEM","H2MI13204"
"328","322","Trudy Busch Valentine","Missouri","Senator","N/A","DEM","Trudy Busch Valentine","VALENTINE","0","MO",NA,NA,NA,NA
"329","323","Cori Bush","Missouri","Representative","1","DEM","Cori Bush","BUSH","1","MO","1479","BUSH, CORI","DEM","H8MO01143"
"330","324","Trish Gunby","Missouri","Representative","2","DEM","Trish Gunby","GUNBY","2","MO","1484","GUNBY, PATRICIA WASHBURN","DEM","H2MO02201"
"331","325","Bethany Mann","Missouri","Representative","3","DEM","Bethany Mann","MANN","3","MO","1491","MANN, BETHANY EILEEN","DEM","H2MO03167"
"332","326","Jack Truman","Missouri","Representative","4","DEM","Jack Truman","TRUMAN","4","MO",NA,NA,NA,NA
"333","327","Emanuel Cleaver II","Missouri","Representative","5","DEM","Emanuel Cleaver II","II","5","MO",NA,NA,NA,NA
"334","328","Henry Martin","Missouri","Representative","6","DEM","Henry Martin","MARTIN","6","MO","1517","MARTIN, HENRY ROBERT","DEM","H8MO06092"
"335","329","Kristen Radaker-Sheafer","Missouri","Representative","7","DEM","Kristen Radaker-Sheafer","RADAKER-SHEAFER","7","MO","1521","RADAKER-SHEAFER, KRISTEN","DEM","H2MO07200"
"336","330","Randi McCallian","Missouri","Representative","8","DEM","Randi McCallian","MCCALLIAN","8","MO","1531","MCCALLIAN, RANDI MCCALLIAN","DEM","H2MO08091"
"337","331","Patty Murray","Washington","Senator","N/A","DEM","Patty Murray","MURRAY","0","WA","3851","MURRAY, PATTY","DEM","S2WA00189"
"338","332","Suzan DelBene","Washington","Representative","1","DEM","Suzan DelBene","DELBENE","1","WA","3026","DELBENE, SUZAN K","DEM","H0WA08046"
"339","333","Rick Larsen","Washington","Representative","2","DEM","Rick Larsen","LARSEN","2","WA","3030","LARSEN, RICK","DEM","H0WA02080"
"340","334","Marie Gluesenkamp Perez","Washington","Representative","3","DEM","Marie Gluesenkamp Perez","PEREZ","3","WA",NA,NA,NA,NA
"341","335","Doug White","Washington","Representative","4","DEM","Doug White","WHITE","4","WA","3046","WHITE, DOUG","DEM","H2WA04199"
"342","336","Natasha Hill","Washington","Representative","5","DEM","Natasha Hill","HILL","5","WA","3054","HILL, NATASHA","DEM","H2WA05105"
"343","337","Derek Kilmer","Washington","Representative","6","DEM","Derek Kilmer","KILMER","6","WA","3060","KILMER, DEREK","DEM","H2WA06129"
"344","338","Pramila Jayapal","Washington","Representative","7","DEM","Pramila Jayapal","JAYAPAL","7","WA","3065","JAYAPAL, PRAMILA","DEM","H6WA07458"
"345","339","Kim Schrier","Washington","Representative","8","DEM","Kim Schrier","SCHRIER","8","WA","3069","SCHRIER, KIM DR.","DEM","H8WA08189"
"346","340","Adam Smith","Washington","Representative","9","DEM","Adam Smith","SMITH","9","WA","3077","SMITH, D. ADAM","DEM","H6WA09025"
"347","341","Marilyn Strickland","Washington","Representative","10","DEM","Marilyn Strickland","STRICKLAND","10","WA","3082","STRICKLAND, MARILYN","DEM","H0WA10034"
"348","342","Cameron Parsons","Tennessee","Representative","1","DEM","Cameron Parsons","PARSONS","1","TN",NA,NA,NA,NA
"349","343","Mark Harmon","Tennessee","Representative","2","DEM","Mark Harmon","HARMON","2","TN","2499","HARMON, MARK DESMOND DR.","DEM","H2TN02120"
"350","344","Meg Gorman","Tennessee","Representative","3","DEM","Meg Gorman","GORMAN","3","TN","2505","GORMAN, MEG","DEM","H0TN03452"
"351","344","Meg Gorman","Tennessee","Representative","3","DEM","Meg Gorman","GORMAN","3","TN","2507","GORMAN, MARY","DEM","H2TN03219"
"352","345","Wayne Steele","Tennessee","Representative","4","DEM","Wayne Steele","STEELE","4","TN","2513","STEELE, RUSSELL","DEM","H8TN04123"
"353","346","Heidi Campbell","Tennessee","Representative","5","DEM","Heidi Campbell","CAMPBELL","5","TN","2521","CAMPBELL, HEIDI","DEM","H2TN05438"
"354","347","Randal Cooper","Tennessee","Representative","6","DEM","Randal Cooper","COOPER","6","TN","2535","COOPER, RANDAL DEAN","DEM","H2TN06162"
"355","348","Odessa Kelly","Tennessee","Representative","7","DEM","Odessa Kelly","KELLY","7","TN",NA,NA,NA,NA
"356","349","Lynnette P. Williams","Tennessee","Representative","8","DEM","Lynnette P. Williams","WILLIAMS","8","TN","2545","WILLIAMS, LYNNETTE","DEM","H2TN08184"
"357","350","Steve Cohen","Tennessee","Representative","9","DEM","Steve Cohen","COHEN","9","TN","2557","COHEN, STEVE I MR.","DEM","H6TN09068"
"358","351","Richard Blumenthal","Connecticut","Senator","N/A","DEM","Richard Blumenthal","BLUMENTHAL","0","CT","3339","BLUMENTHAL, RICHARD","DEM","S0CT00177"
"359","352","John B. Larson","Connecticut","Representative","1","DEM","John B. Larson","LARSON","1","CT","385","LARSON, JOHN B","DEM","H8CT01046"
"360","353","Joe Courtney","Connecticut","Representative","2","DEM","Joe Courtney","COURTNEY","2","CT","390","COURTNEY, JOSEPH","DEM","H2CT02112"
"361","354","Rosa L. DeLauro","Connecticut","Representative","3","DEM","Rosa L. DeLauro","DELAURO","3","CT","394","DELAURO, ROSA L","DEM","H0CT03072"
"362","355","Jim Himes","Connecticut","Representative","4","DEM","Jim Himes","HIMES","4","CT","400","HIMES, JIM","DEM","H8CT04172"
"363","356","Jahana Hayes","Connecticut","Representative","5","DEM","Jahana Hayes","HAYES","5","CT","408","HAYES, JAHANA","DEM","H8CT05245"
"364","357","Jeff Ettinger","Minnesota","Representative","1","DEM","Jeff Ettinger","ETTINGER","1","MN",NA,NA,NA,NA
"365","358","Angie Craig","Minnesota","Representative","2","DEM","Angie Craig","CRAIG","2","MN","1430","CRAIG, ANGELA DAWN","DEM","H6MN02131"
"366","359","Dean Phillips","Minnesota","Representative","3","DEM","Dean Phillips","PHILLIPS","3","MN",NA,NA,NA,NA
