"","committee_id","total_fundraised"
"775","C00635243",182.41
"776","C00635888",750
"777","C00636092",247204.56
"778","C00636571",6228308.14
"779","C00636670",427387.5
"780","C00637215",1767369.66
"781","C00637363",842525.63
"782","C00637371",981796.27
"783","C00637868",756147.6
"784","C00638023",1417322.76
"785","C00638130",5000
"786","C00638148",20
"787","C00638437",3910
"788","C00638650",2010690.52
"789","C00638767",557447.470000001
"790","C00639062",500
"791","C00639146",2032379.57
"792","C00639591",1645836.35999992
"793","C00640003",1818584.99
"794","C00640045",471288.17
"795","C00640300",80
"796","C00640714",866203.5
"797","C00646844",2539140.27
"798","C00647065",169193.52
"799","C00647214",605.13
"800","C00647339",404450
"801","C00647354",5000
"802","C00648220",1969204.06
"803","C00648253",560734.77
"804","C00648295",108011
"805","C00648493",1870037.53
"806","C00648717",693
"807","C00648915",1201948.77
"808","C00649376",748228.38
"809","C00649913",3242460.21
"810","C00650150",3710689
"811","C00650697",418669.339999999
"812","C00651026",5400
"813","C00651042",15
"814","C00651505",10000
"815","C00651547",6450
"816","C00652149",424193.18
"817","C00652628",3817251.72
"818","C00652719",2113887.94
"819","C00652727",1764265.6
"820","C00652743",388069.5
"821","C00653147",435150
"822","C00653196",293076.72
"823","C00653220",255722.73
"824","C00653386",360
"825","C00653634",54923
"826","C00653816",1806020.16
"827","C00653923",304910.07
"828","C00654723",273150
"829","C00655332",264466.72
"830","C00655571",1204199.58
"831","C00655613",1961411.11
"832","C00655647",354075.51
"833","C00656611",250
"834","C00656686",1831629.47
"835","C00657304",3456538.03
"836","C00657361",34161.02
"837","C00657411",913344.73
"838","C00657833",332355.97
"839","C00657866",100
"840","C00657965",463.3
"841","C00658385",445157.41
"842","C00658401",344746.19
"843","C00658567",2395060.75
"844","C00659367",24950
"845","C00660464",1769508.48
"846","C00660555",93280
"847","C00660795",2583091.53
"848","C00661496",150
"849","C00661561",249297.65
"850","C00661777",220496
"851","C00661868",651304.06
"852","C00662148",25
"853","C00662577",1056559
"854","C00662601",152570
"855","C00662619",1158850.56
"856","C00662650",355105.4
"857","C00662767",514778.79
"858","C00662841",2900
"859","C00662940",69436.78
"860","C00663294",300
"861","C00663435",47720.22
"862","C00663781",285846.18
"863","C00663823",10050
"864","C00663914",277999.13
"865","C00663963",500
"866","C00664375",4063424.89000001
"867","C00665331",300
"868","C00665638",2561267.59000001
"869","C00665695",2087876.46
"870","C00665752",411452.4
"871","C00666321",833
"872","C00666396",814548.480000001
"873","C00666859",1055968.11
"874","C00667741",296077.740000001
"875","C00668194",51135
"876","C00668228",1406700.76
"877","C00668491",167085
"878","C00668608",963984.670000003
"879","C00669242",66.53
"880","C00669358",418585
"881","C00669531",80729.65
"882","C00669598",96257
"883","C00669960",10
"884","C00670034",2487492.67
"885","C00670216",300
"886","C00670463",61142.07
"887","C00670547",366553.22
"888","C00670695",144500.12
"889","C00670844",477504.59
"890","C00671891",464193.62
"891","C00672154",10890.96
"892","C00672295",1530972.87
"893","C00672576",75000
"894","C00674085",20156
"895","C00674259",246190
"896","C00675108",472508.46
"897","C00675348",280816.85
"898","C00676965",1125833.81
"899","C00677286",1177446.16
"900","C00677492",137053.54
"901","C00677898",811262.01
"902","C00678839",10
"903","C00680918",111861.77
"904","C00680934",729664.900000003
"905","C00681106",1000
"906","C00681221",102.98
"907","C00682948",15200
"908","C00685370",6000
"909","C00686055",192.31
"910","C00687541",200
"911","C00687558",1000
"912","C00688549",5000
"913","C00688739",200
"914","C00689091",454.54
"915","C00689885",2650
"916","C00690586",140.9
"917","C00690735",48000
"918","C00691170",500
"919","C00691832",6804.19
"920","C00691931",77811.8
"921","C00692129",5
"922","C00692137",500
"923","C00693143",25791.7
"924","C00693309",500
"925","C00693663",463182.53
"926","C00694323",20
"927","C00694604",15936.53
"928","C00694778",1247663.1
"929","C00695395",35
"930","C00695866",277566
"931","C00696104",196492.87
"932","C00696492",13873.75
"933","C00696526",36757435.7699969
"934","C00696815",16550
"935","C00697052",98278.1
"936","C00697250",408555.88
"937","C00697334",87483.5800000001
"938","C00697391",42170.66
"939","C00697649",441725.1
"940","C00697789",600414.85
"941","C00698217",3725
"942","C00698753",1200
"943","C00699157",60
"944","C00699660",552991.61
"945","C00699694",9295
"946","C00699702",2000
"947","C00699744",1229933.45
"948","C00699843",50
"949","C00700161",98155.85
"950","C00700187",24722.87
"951","C00700237",199622.5
"952","C00700823",24911.26
"953","C00700898",768829.56
"954","C00701003",1851938.85
"955","C00701102",2237375.12999998
"956","C00701672",491522.81
"957","C00701755",491620.57
"958","C00701847",242992.28
"959","C00701888",10
"960","C00701953",214825
"961","C00702019",2000
"962","C00702191",1125320.31
"963","C00702332",23047.04
"964","C00703058",1869218.13
"965","C00703843",431048.79
"966","C00704049",1231073.14
"967","C00704270",71840.22
"968","C00704973",13979.11
"969","C00704981",2177264.73999997
"970","C00705236",150525.55
"971","C00706242",117860
"972","C00706267",1825687.81
"973","C00706275",242074
"974","C00706374",207883.96
"975","C00706549",891717.95
"976","C00706614",919780.819999999
