"","CAND_ID","CMTE_ID","LINKAGE_ID"
"300","H0FL05147","C00698613",238638
"301","H0FL05147","C00723999",238149
"302","H0FL05147","C00696971",236181
"303","H0FL05154","C00699595",236575
"304","H0FL05188","C00740738",237343
"305","H0FL06095","C00701839",236266
"306","H0FL06111","C00732818",237459
"307","H0FL06137","C00741207",237504
"308","H0FL06145","C00769380",239716
"309","H0FL07051","C00737346",238779
"310","H0FL07101","C00701565",236973
"311","H0FL07143","C00726000",237691
"312","H0FL07143","C00702514",237296
"313","H0FL07150","C00726596",238697
"314","H0FL07176","C00738070",238851
"315","H0FL07184","C00738500",238295
"316","H0FL07192","C00740860",237349
"317","H0FL07192","C00740852",237348
"318","H0FL08208","C00481911",235161
"319","H0FL08224","C00707257",237092
"320","H0FL08232","C00733642",238764
"321","H0FL08265","C00745000",237830
"322","H0FL09073","C00698217",235924
"323","H0FL09073","C00757435",237359
"324","H0FL09081","C00699694",237010
"325","H0FL09099","C00706804",236526
"326","H0FL09107","C00763342",237306
"327","H0FL09115","C00711358",239094
"328","H0FL09131","C00736066",238303
"329","H0FL10097","C00771287",241236
"330","H0FL10113","C00741900",237444
"331","H0FL11152","C00468363",235116
"332","H0FL11210","C00735522",238755
"333","H0FL11228","C00750992",239240
"334","H0FL12101","C00809608",244155
"335","H0FL12176","C00703553",236384
"336","H0FL12184","C00711846",237743
"337","H0FL13125","C00703579",236385
"338","H0FL13133","C00708263",237905
"339","H0FL13158","C00702522",237336
"340","H0FL13158","C00775098",245808
"341","H0FL13158","C00718239",237399
"342","H0FL14081","C00697995",236091
"343","H0FL14099","C00706796",236525
"344","H0FL14107","C00708230",237903
"345","H0FL15062","C00699348",236681
"346","H0FL15070","C00772780",240184
"347","H0FL15088","C00713909",238045
"348","H0FL15096","C00732933",238298
"349","H0FL15096","C00782623",241237
"350","H0FL15104","C00742247",238055
"351","H0FL16094","C00713222",238624
"352","H0FL16102","C00724088",238173
"353","H0FL17068","C00460055",234986
"354","H0FL17159","C00818005",245172
"355","H0FL17175","C00725242",238474
"356","H0FL18207","C00743286",237168
"357","H0FL18215","C00808261",244003
"358","H0FL18215","C00744797",238116
"359","H0FL19080","C00469163",235086
"360","H0FL19106","C00718155",237398
"361","H0FL19114","C00725531",238494
"362","H0FL19122","C00726026",237285
"363","H0FL19148","C00726869",238069
"364","H0FL19155","C00727057",238084
"365","H0FL19163","C00731406",237549
"366","H0FL19171","C00729913",238513
"367","H0FL19213","C00741561",239083
"368","H0FL19221","C00742528",239102
"369","H0FL19247","C00744672",238421
"370","H0FL20112","C00777474",240592
"371","H0FL20112","C00552711",236456
"372","H0FL20120","C00700195",237067
"373","H0FL20138","C00724880",238735
"374","H0FL21060","C00712992",237675
"375","H0FL21078","C00714543",238973
"376","H0FL21110","C00729624",237885
"377","H0FL21151","C00738062",238850
"378","H0FL21177","C00744615",238269
"379","H0FL22076","C00715649",238250
"380","H0FL22100","C00771147",239993
"381","H0FL22100","C00719724",237921
"382","H0FL22118","C00790576",242031
"383","H0FL22126","C00726539",239153
"384","H0FL22134","C00727610",238907
"385","H0FL22142","C00735795",238611
"386","H0FL22159","C00742627",239110
"387","H0FL23041","C00691832",236060
"388","H0FL23058","C00692533",236688
"389","H0FL23066","C00699538",236574
"390","H0FL23082","C00711994",238527
"391","H0FL23090","C00727164",237859
"392","H0FL23116","C00740621",237326
"393","H0FL23124","C00738211",237610
"394","H0FL23132","C00740753",237344
"395","H0FL24189","C00732628",239116
"396","H0FL24197","C00719153",238813
"397","H0FL24205","C00736264",238081
"398","H0FL24213","C00744771",238115
"399","H0FL25038","C00477356",235152
"400","H0FL25087","C00716100",238985
"401","H0FL26036","C00702530",237297
"402","H0FL26036","C00735985",238411
"403","H0FL27026","C00715474",237367
"404","H0FL27067","C00722801",237608
"405","H0FL27075","C00743617",238498
"406","H0GA01029","C00741397",237621
"407","H0GA01029","C00763912",245117
"408","H0GA01052","C00700336",237888
"409","H0GA01060","C00701177",236861
"410","H0GA02258","C00737692",238832
"411","H0GA02266","C00748939",238041
"412","H0GA03074","C00743724",237777
"413","H0GA04023","C00255976",236160
"414","H0GA04122","C00709311",238622
"415","H0GA04148","C00720235",237683
"416","H0GA05251","C00735498",238753
"417","H0GA05277","C00741538",237878
"418","H0GA05301","C00752584",238959
"419","H0GA05319","C00755314",238749
"420","H0GA05327","C00753962",237805
"421","H0GA05335","C00754614",239216
"422","H0GA05343","C00756924",238359
"423","H0GA06150","C00689646",237017
"424","H0GA06184","C00707612",238854
"425","H0GA06192","C00708289",237906
"426","H0GA06200","C00734061",238199
"427","H0GA06200","C00783092",241301
"428","H0GA06218","C00735993",238412
"429","H0GA06226","C00742544",239103
"430","H0GA07125","C00544445",235499
"431","H0GA07125","C00569079",235359
"432","H0GA07208","C00697144",236702
"433","H0GA07216","C00698795",236937
"434","H0GA07232","C00798850",245438
"435","H0GA07265","C00706564",238998
"436","H0GA07273","C00775106",245518
"437","H0GA07273","C00706747",236837
"438","H0GA07299","C00708412",239143
"439","H0GA07307","C00775551",240392
"440","H0GA07307","C00708750",238962
"441","H0GA07323","C00715763",237188
"442","H0GA07331","C00735951",238408
"443","H0GA08099","C00482737",235177
"444","H0GA08099","C00544510",235503
"445","H0GA08099","C00493783",235135
"446","H0GA08107","C00729962",238516
"447","H0GA08115","C00743096",237159
"448","H0GA09030","C00462556",235090
"449","H0GA09154","C00731125",238676
"450","H0GA09170","C00730853",237280
"451","H0GA09196","C00733378",239135
"452","H0GA09204","C00738021",238848
"453","H0GA09220","C00738666",238086
"454","H0GA09246","C00740100",238554
"455","H0GA09279","C00742692",238930
"456","H0GA10228","C00470393",235080
"457","H0GA10251","C00712299",238549
"458","H0GA10269","C00721324",237848
"459","H0GA10285","C00732909",238283
"460","H0GA11028","C00697490",236798
"461","H0GA11036","C00721183",237970
"462","H0GA11044","C00726760",237988
"463","H0GA11051","C00730721",237902
"464","H0GA12059","C00722991",238700
"465","H0GA12059","C00774893",244816
"466","H0GA13032","C00476457",235157
"467","H0GA13107","C00693416",237114
"468","H0GA13115","C00705145",236493
"469","H0GA13123","C00714493",237517
"470","H0GA13131","C00736074",238304
"471","H0GA13149","C00792846",242258
"472","H0GA13149","C00741645",237881
"473","H0GA13156","C00741470",238882
"474","H0GA14048","C00734517",237426
"475","H0GA14063","C00735324",238158
"476","H0GA14089","C00736959",238235
"477","H0GA14097","C00732669",239233
"478","H0GA14113","C00738096",238853
"479","H0GA14121","C00738294",237615
"480","H0GU01027","C00749192",238067
"481","H0GU01035","C00750547",237446
"482","H0HI01058","C00383562",240879
"483","H0HI01280","C00753079",238288
"484","H0HI01280","C00747741",237180
"485","H0HI01298","C00755421",238772
"486","H0HI01306","C00748020",237944
"487","H0HI02155","C00694604",236511
"488","H0HI02163","C00720995",237946
"489","H0HI02189","C00732834",238279
"490","H0HI02197","C00735332",238159
"491","H0HI02205","C00739813",237547
"492","H0HI02213","C00742221",238054
"493","H0HI02239","C00747253",237468
"494","H0HI02247","C00747329",239244
"495","H0HI02288","C00749374",238879
"496","H0HI02312","C00751677",238598
"497","H0HI69014","C00762849",237331
"498","H0IA01174","C00706267",236771
"499","H0IA01174","C00702563",237572
"500","H0IA01190","C00709618",238371
"501","H0IA02131","C00701292",236737
"502","H0IA02156","C00706457",236375
"503","H0IA02164","C00711457",239111
"504","H0IA03139","C00471227",235412
"505","H0IA03212","C00709378",238581
"506","H0IA04111","C00693358",235896
"507","H0IA04129","C00694208",236755
"508","H0IA04145","C00693663",236939
"509","H0IA04152","C00720607",237733
"510","H0IA05092","C00473959",235073
"511","H0ID01295","C00724989",238738
"512","H0ID01303","C00745760",238039
"513","H0ID02111","C00739474",237274
"514","H0ID02111","C00739623",237535
"515","H0IL01061","C00826313",245832
"516","H0IL01145","C00809525",244127
"517","H0IL01178","C00697128",238178
"518","H0IL01186","C00707596",239067
"519","H0IL01194","C00719187",239004
"520","H0IL01194","C00762807",237329
"521","H0IL01202","C00720839",237961
"522","H0IL01210","C00704973",236947
"523","H0IL01228","C00739961",237290
"524","H0IL02127","C00705335",236896
"525","H0IL03091","C00700831",236069
"526","H0IL03109","C00701896",237062
"527","H0IL03117","C00707679",238856
"528","H0IL03125","C00736645",238273
"529","H0IL03133","C00736348",245332
"530","H0IL04081","C00747535",238352
"531","H0IL05096","C00457556",235030
"532","H0IL05351","C00715185",238553
"533","H0IL06060","C00702597",237160
"534","H0IL06060","C00712794",238017
"535","H0IL07167","C00706259",236298
"536","H0IL07167","C00781104",241009
"537","H0IL07175","C00710491",237485
"538","H0IL08033","C00583567",235729
"539","H0IL08165","C00761130",238983
"540","H0IL10302","C00465971",235110
"541","H0IL10302","C00528851",235379
"542","H0IL10328","C00469940",235094
"543","H0IL10351","C00707539",237581
"544","H0IL10369","C00715912",237708
"545","H0IL10377","C00793299",242294
"546","H0IL10393","C00750877",239207
"547","H0IL11052","C00458877",235034
"548","H0IL11110","C00715334",237352
