"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"35","Paul D. Steury","Male","White","","","No","No","Indiana","5/3/22","Representative","2","11,708","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"35"
"36","Gary L. Snyder","Male","White","","","No","No","Indiana","5/3/22","Representative","3","6,794","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"36"
"37","Roger D. Day","Male","White","","","No","No","Indiana","5/3/22","Representative","4","5,680","68%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"37"
"38","Jeannine Lee Lake","Female","Black","","","No","No","Indiana","5/3/22","Representative","5","10,192","60%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"38"
"39","Cynthia ""Cinde"" Wirth","Female","White","","","No","No","Indiana","5/3/22","Representative","6","9,057","73%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"39"
"40","André D. Carson","Male","Black","","","Yes","No","Indiana","5/3/22","Representative","7","36,242","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"40"
"41","Ray McCormick","Male","White","","","No","No","Indiana","5/3/22","Representative","8","16,465","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"41"
"42","Matthew Fyfe","Male","White","","","No","No","Indiana","5/3/22","Representative","9","12,240","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"42"
"43","Tim Ryan","Male","White","","","No","No","Ohio","5/3/22","Senator","N/A","359,941","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"43"
"44","Greg Landsman","Male","White","","","No","No","Ohio","5/3/22","Representative","1","28,330","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"44"
"45","Samantha Meadows","Female","White ","","","No","No","Ohio","5/3/22","Representative","2","11,694","72%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"45"
"46","Joyce Beatty","Female","Black","","","Yes","No","Ohio","5/3/22","Representative","3","48,241","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"46"
"47","Tamie Wilson","Female","Black","White","","No","No","Ohio","5/3/22","Representative","4","10,804","52%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"47"
"48","Craig Swartz","Male","White","","","No","No","Ohio","5/3/22","Representative","5","14,590","55%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"48"
"49","Louis G. Lyras","Male","White","","","No","No","Ohio","5/3/22","Representative","6","9,056","41%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"49"
"50","Matthew Diemer","Male","White","Black","","No","No","Ohio","5/3/22","Representative","7","12,636","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"50"
"51","Vanessa Enoch","Female","Black","","","No","No","Ohio","5/3/22","Representative","8","18,290","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"51"
"52","Marcy Kaptur","Female","White","","","Yes","No","Ohio","5/3/22","Representative","9","32,968","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"52"
"53","David Esrati","Male","White","","","No","No","Ohio","5/3/22","Representative","10","10,473","31%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"53"
"54","Shontel Brown","Female","Black","","","Yes","No","Ohio","5/3/22","Representative","11","44,841","66%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"54"
"55","Amy Rippel-Elton","Female","White","","","No","No","Ohio","5/3/22","Representative","12","12,712","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"55"
"56","Emilia Sykes","Female","Black","","","No","No","Ohio","5/3/22","Representative","13","36,245","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"56"
"57","Matt Kilboy","Male","White","","","No","No","Ohio","5/3/22","Representative","14","34,499","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"57"
"58","Gary Josephson","Male","Unknown","","","No","No","Ohio","5/3/22","Representative","15","9,030","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"58"
"59","Lacy Watson","Male","Black","","","No","No","West Virginia","5/10/22","Representative","1","32,686","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"59"
"60","Barry Lee Wendell","Male","White","","","No","No","West Virginia","5/10/22","Representative","2","22,139","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"60"
"61","Patty Pansing Brooks","Female","White","","","No","No","Nebraska","5/10/22","Representative","1","31,808","87%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"61"
"62","Tony Vargas","Male","Latino (Peruvian)","","","No","No","Nebraska","5/10/22","Representative","2","31,930","69%","Won","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"62"
"63","David J. Else","Male","White","","","No","No","Nebraska","5/10/22","Representative","3","8,701","52%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"63"
"64","Charles Booker","Male","Black","","","No","No","Kentucky","5/17/22","Senator","N/A","214,245","73%","Won","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"64"
"65","Jimmy C. Ausbrooks","Male","White","","","No","No","Kentucky","5/17/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"65"
"66","Hank Linderman","Male","White","","","No","No","Kentucky","5/17/22","Representative","2","20,174","58%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"66"
"67","Morgan McGarvey","Male","White","","","No","No","Kentucky","5/17/22","Representative","3","52,157","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","No","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"67"
"68","Matthew Lehman","Male","White","","","No","No","Kentucky","5/17/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"68"
"69","Conor Halbleib","Male","White","","","No","No","Kentucky","5/17/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"69"
"70","Geoffrey M. ""Geoff"" Young","Male","White","","","No","No","Kentucky","5/17/22","Representative","6","25,722","52%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"70"
"71","Ron Wyden","Male","White","","","Yes","No","Oregon","5/17/22","Senator","N/A","439,665","89%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"71"
"72","Suzanne Bonamici","Female","White","","","Yes","No","Oregon","5/17/22","Representative","1","80,317","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"72"
"73","Joe Yetter","Male","White","","","No","No","Oregon","5/17/22","Representative","2","27,814","69%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"73"
"74","Earl Blumenauer","Male","White","","","Yes","No","Oregon","5/17/22","Representative","3","96,386","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"74"
"75","Val Hoyle","Female","White","","","No","No","Oregon","5/17/22","Representative","4","56,153","64%","Won","N/A","N/A","N/A","Yes","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"75"
"76","Jamie McLeod-Skinner","Female","White","","","No","Yes","Oregon","5/17/22","Representative","5","47,148","55%","Won","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"76"
"77","Andrea Salinas","Female","White","","","No","No","Oregon","5/17/22","Representative","6","26,101","37%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"77"
"78","David Roth","Male","White","","","No","No","Idaho","5/17/22","Senator","N/A","19,160","58%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"78"
"79","Kaylee Peterson","Female","White","","","No","No","Idaho","5/17/22","Representative","1","15,057","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"79"
"80","Wendy Norman","Female","White","","","No","No","Idaho","5/17/22","Representative","2","17,150","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"80"
