"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"431","Brian Higgins","Male","White","","","Yes","No","New York","8/23/22","Representative","26","28,485","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"431"
"432","Richard E. Neal","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","1","71,928","99%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"432"
"433","James P. McGovern","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","2","69,839","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"433"
"434","Lori Loureiro Trahan","Female","White","","","Yes","No","Massachusetts","9/6/22","Representative","3","64,190","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"434"
"435","Jake Auchincloss","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","4","67,738","99%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"435"
"436","Katherine M. Clark","Female","White","","","Yes","No","Massachusetts","9/6/22","Representative","5","84,845","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"436"
"437","Seth Moulton","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","6","84,860","99%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"437"
"438","Ayanna S. Pressley","Female","Black","","","Yes","No","Massachusetts","9/6/22","Representative","7","69,227","99%","Won","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"438"
"439","Stephen F. Lynch","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","8","73,191","99%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"439"
"440","Bill Keating","Male","White","","","Yes","No","Massachusetts","9/6/22","Representative","9","81,530","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"440"
"441","Lisa Blunt Rochester","Female","Black","","","Yes","No","Delaware","9/13/22","Representative","At-Large","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"441"
"442","Maggie Hassan","Female","White","","","Yes","No","New Hampshire","9/13/22","Senator","N/A","88,146","94%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"442"
"443","Chris Pappas","Male","White","","","Yes","No","New Hampshire","9/13/22","Representative","1","41,990","99%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"443"
"444","Ann McLane Kuster","Female","White","","","Yes","No","New Hampshire","9/13/22","Representative","2","48,630","99%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"444"
"445","David N. Cicilline","Male","White","","","Yes","No","Rhode Island","9/13/22","Representative","1","46,610","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"445"
"446","Seth M. Magaziner","Male","White","","","No","No","Rhode Island","9/13/22","Representative","2","30,309","54%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"446"
"447","Nathaniel Moran","Male","White","","","No","No","Texas","3/1/22","Representative","1","51,312","63%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"447"
"448","Dan Crenshaw","Male","White","","","Yes","No","Texas","3/1/22","Representative","2","45,863","74%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"448"
"449","Keith Self","Male","White","","","No","Yes","Texas","3/1/22","Representative","3","17,058","26%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"449"
"450","Pat Fallon","Male","White","","","Yes","No","Texas","3/1/22","Representative","4","41,297","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/11/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"450"
"451","Lance Gooden","Male","White","","","Yes","No","Texas","3/1/22","Representative","5","47,692","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/16/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"451"
"452","Jake Ellzey","Male","White","","","Yes","No","Texas","3/1/22","Representative","6","38,683","71%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/17/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"452"
"453","Johnny Teague","Male","White","","","No","No","Texas","3/1/22","Representative","7","9,293","43%","Made runoff","9,152","64%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"453"
"454","Morgan Luttrell","Male","White","","","No","No","Texas","3/1/22","Representative","8","34,271","52%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"454"
"455","Jimmy I. Leon","Male","Unknown","","","No","No","Texas","3/1/22","Representative","9","10,503","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"455"
"456","Michael McCaul","Male","White","","","Yes","No","Texas","3/1/22","Representative","10","63,920","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/11/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"456"
"457","August Pfluger","Male","White","","","Yes","No","Texas","3/1/22","Representative","11","61,479","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/9/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"457"
"458","Kay Granger","Female","White","","","Yes","No","Texas","3/1/22","Representative","12","46,779","75%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/17/22","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"458"
"459","Ronny Jackson","Male","White","","","Yes","No","Texas","3/1/22","Representative","13","71,554","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/13/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"459"
"460","Randy Weber","Male","White","","","Yes","No","Texas","3/1/22","Representative","14","58,439","89%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/16/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"460"
"461","Monica De La Cruz","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","15","16,835","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","2/17/22","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"461"
"462","Irene Armendariz-Jackson","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","16","12,623","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"462"
"463","Pete Sessions","Male","White","","","Yes","No","Texas","3/1/22","Representative","17","48,222","70%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"463"
"464","Carmen Maria Montiel","Female","Latino (Venezuelan)","","","No","No","Texas","3/1/22","Representative","18","11,087","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"464"
"465","Jodey C. Arrington","Male","White","","","Yes","No","Texas","3/1/22","Representative","19","68,503","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/17/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"465"
"466","Kyle Sinclair","Male","White","","","No","No","Texas","3/1/22","Representative","20","15,938","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"466"
"467","Chip Roy","Male","White","","","Yes","No","Texas","3/1/22","Representative","21","78,087","83%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"467"
"468","Troy E. Nehls","Male","White","","","Yes","No","Texas","3/1/22","Representative","22","50,281","87%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/16/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"468"
"469","Tony Gonzales","Male","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","23","37,212","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"469"
"470","Beth Van Duyne","Female","White","","","Yes","No","Texas","3/1/22","Representative","24","61,768","85%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/10/21","N/A","N/A","N/A","Yes","Yes","Yes",TRUE,"470"
"471","Roger Williams","Male","White","","","Yes","No","Texas","3/1/22","Representative","25","69,418","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/10/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"471"
"472","Michael C. Burgess","Male","White","","","Yes","No","Texas","3/1/22","Representative","26","42,006","67%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/10/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"472"
"473","Michael Cloud","Male","White","","","Yes","No","Texas","3/1/22","Representative","27","45,741","72%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/10/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"473"
"474","Cassy Garcia","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","28","5,923","24%","Made runoff","8,485","57%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"Yes (runoff only)","GOP","N/A","N/A","N/A","N/A","Yes (runoff only)","Yes (runoff only)","Yes (runoff only)","Yes (runoff only)",TRUE,"474"
"475","Robert Schafranek","Male","White","","","No","No","Texas","3/1/22","Representative","29","3,299","39%","Made runoff","2,875","61%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"475"
"476","James Rodgers","Male","White","","","No","No","Texas","3/1/22","Representative","30","3,754","31%","Made runoff","3,090","57%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"476"
"477","John Carter","Male","White","","","Yes","No","Texas","3/1/22","Representative","31","50,887","71%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/11/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"477"
"478","Antonio Swad","Male","Latino","","","No","No","Texas","3/1/22","Representative","32","8,962","40%","Made runoff","6,929","57%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"478"
"479","Patrick David Gillespie","Male","White","","","No","No","Texas","3/1/22","Representative","33","5,709","63%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"479"
"480","Mayra Flores","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","34","9,490","60%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"480"
"481","Dan McQueen","Male","White","","","No","No","Texas","3/1/22","Representative","35","2,900","21%","Made runoff","4,161","61%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"481"
"482","Brian Babin","Male","White","","","Yes","No","Texas","3/1/22","Representative","36","59,381","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/17/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"482"
"483","Jenny Garcia Sharon","Female","White","","","No","No","Texas","3/1/22","Representative","37","9,087","47%","Made runoff","6,923","59%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"483"
"484","Wesley Hunt","Male","Black","","","No","No","Texas","3/1/22","Representative","38","35,291","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","2/17/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"484"
"485","Todd Young","Male","White","","","Yes","No","Indiana","5/3/22","Senator","N/A","372,738","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"485"
"486","Jennifer-Ruth Green","Female","Black","","","No","No","Indiana","5/3/22","Representative","1","14,616","47%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A",TRUE,"486"
"487","Jackie Walorski","Female","White","","","Yes","No","Indiana","5/3/22","Representative","2","36,928","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"487"
"488","Jim Banks","Male","White","","","Yes","No","Indiana","5/3/22","Representative","3","54,033","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"488"
"489","Jim Baird","Male","White","","","Yes","No","Indiana","5/3/22","Representative","4","50,342","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"489"
"490","Victoria Spartz","Female","White","","","Yes","No","Indiana","5/3/22","Representative","5","47,128","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"490"
"491","Greg Pence","Male","White","","","Yes","No","Indiana","5/3/22","Representative","6","44,893","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"491"
"492","Angela Grabovsky","Female","White","","","No","No","Indiana","5/3/22","Representative","7","6,886","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"492"
"493","Larry D. Bucshon","Male","White","","","Yes","No","Indiana","5/3/22","Representative","8","47,557","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"493"
"494","Erin Houchin","Female","White","","","No","No","Indiana","5/3/22","Representative","9","21,697","37%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"494"
"495","J.D. Vance","Male","White","","","No","No","Ohio","5/3/22","Senator","N/A","344,736","32%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/15/22","No","N/A","N/A","No","No","No",TRUE,"495"
"496","Steve Chabot","Male","White","","","Yes","No","Ohio","5/3/22","Representative","1","45,450","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/23/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"496"
"497","Brad Wenstrup","Male","White","","","Yes","No","Ohio","5/3/22","Representative","2","56,805","77%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"497"
"498","Lee R. Stahley","Male","White","","","No","No","Ohio","5/3/22","Representative","3","30,250","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"498"
"499","Jim Jordan","Male","White","","","Yes","No","Ohio","5/3/22","Representative","4","86,576","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/6/22","N/A","No","N/A","N/A","N/A","N/A",TRUE,"499"
"500","Bob Latta","Male","White","","","Yes","No","Ohio","5/3/22","Representative","5","69,981","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"500"
"501","Bill Johnson","Male","White","","","Yes","No","Ohio","5/3/22","Representative","6","63,578","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"501"
"502","Max Miller","Male","White","","","No","No","Ohio","5/3/22","Representative","7","43,158","72%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/26/21","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"502"
"503","Warren Davidson","Male","White","","","Yes","No","Ohio","5/3/22","Representative","8","50,372","72%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/9/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"503"
"504","J.R. Majewski","Male","White","","","No","No","Ohio","5/3/22","Representative","9","21,850","36%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","No",TRUE,"504"
"505","Mike Turner","Male","White","","","Yes","No","Ohio","5/3/22","Representative","10","65,734","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/29/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"505"
"506","Eric J. Brewer","Male","Black","","","No","No","Ohio","5/3/22","Representative","11","8,240","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"506"
"507","Troy Balderson","Male","White","","","Yes","No","Ohio","5/3/22","Representative","12","66,181","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/23/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"507"
"508","Madison Gesiotto Gilbert","Female","White","","","No","No","Ohio","5/3/22","Representative","13","16,210","29%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","3/15/22","N/A","N/A","Yes","Yes","N/A","N/A",TRUE,"508"
"509","David P. Joyce","Male","White","","","Yes","No","Ohio","5/3/22","Representative","14","58,042","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"509"
"510","Mike Carey","Male","White","","","Yes","No","Ohio","5/3/22","Representative","15","48,827","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"510"
"511","Jim Myles","Male","White","","","No","No","Virginia","5/7/22","Representative","11","670","40%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"511"
"512","Carol Miller","Female","White","","","Yes","No","West Virginia","5/10/22","Representative","1","41,852","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/6/22","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"512"
"513","Alexander X. Mooney","Male","White","Latino (Cuban)","","Yes","Yes","West Virginia","5/10/22","Representative","2","45,164","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/15/21","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"513"
"514","Mike Flood","Male","White","","","No","Yes","Nebraska","5/10/22","Representative","1","61,265","74%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"514"
"515","Don Bacon","Male","White","","","Yes","No","Nebraska","5/10/22","Representative","2","53,824","77%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"515"
"516","Adrian Smith","Male","White","","","Yes","No","Nebraska","5/10/22","Representative","3","89,453","76%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/3/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"516"
"517","Rand Paul","Male","White","","","Yes","No","Kentucky","5/17/22","Senator","N/A","333,051","86%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","4/8/21","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"517"
"518","James R. Comer","Male","White","","","Yes","No","Kentucky","5/17/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"518"
"519","S. Brett Guthrie","Male","White","","","Yes","No","Kentucky","5/17/22","Representative","2","52,265","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"519"
"520","Stuart N. Ray","Male","White","","","No","No","Kentucky","5/17/22","Representative","3","9,703","30%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"520"
"521","Thomas Massie","Male","White","","","Yes","No","Kentucky","5/17/22","Representative","4","50,301","75%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"521"
"522","Harold ""Hal"" Rogers","Male","White","","","Yes","No","Kentucky","5/17/22","Representative","5","77,050","83%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"522"
"523","Andy Barr","Male","White","","","Yes","No","Kentucky","5/17/22","Representative","6","47,660","88%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/10/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"523"
"524","Jo Rae Perkins","Female","White","","","No","No","Oregon","5/17/22","Senator","N/A","115,701","33%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"524"
"525","Christopher A. Mann","Male","White","","","No","No","Oregon","5/17/22","Representative","1","19,605","67%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"525"
"526","Cliff S. Bentz","Male","White","","","Yes","No","Oregon","5/17/22","Representative","2","67,051","75%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"526"
"527","Joanna Harbour","Female","White","","","No","No","Oregon","5/17/22","Representative","3","18,031","98%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"527"
"528","Alek Skarlatos","Male","White","","","No","No","Oregon","5/17/22","Representative","4","58,655","98%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"528"
