"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2457","2457","ROBERTSON, ANNABELLE","DEM","H8SC02114","SC","2","ROBERTSON","DEM"
"2458","2458","WILSON, JOE THE HON.","REP","H2SC02059","SC","2","WILSON","GOP"
"2459","2459","CLEVELAND, HOSEA N","DEM","H4SC03111","SC","3","CLEVELAND","DEM"
"2460","2460","DUNCAN, JEFFREY D MR.","REP","H0SC03077","SC","3","DUNCAN","GOP"
"2461","2461","NELSON, KIMBERLY","DEM","H0SC04281","SC","4","NELSON","DEM"
"2462","2462","TURNER, D LEE","DEM","H8SC04227","SC","4","TURNER","DEM"
"2463","2463","SMART, ANDREW THOMAS","REP","H0SC04240","SC","4","SMART","GOP"
"2464","2464","GOWDY, TREY","REP","H0SC04257","SC","4","GOWDY","GOP"
"2465","2465","LAPIERRE, MICHAEL JAMES MR.","REP","H2SC04139","SC","4","LAPIERRE","GOP"
"2466","2466","BURNS, MARK","REP","H2SC04147","SC","4","BURNS","GOP"
"2467","2467","ABUZEID, GEORGE ASSAD","REP","H2SC04154","SC","4","ABUZEID","GOP"
"2468","2468","TIMMONS, WILLIAM R IV","REP","H8SC04250","SC","4","TIMMONS","GOP"
"2469","2469","BRIGHT, LEE","REP","H8SC04342","SC","4","BRIGHT","GOP"
"2470","2470","BROWN, MAURICUS","DEM","H0SC05056","SC","5","BROWN","DEM"
"2471","2471","ECKERT, KEVIN","DEM","H2SC05094","SC","5","ECKERT","DEM"
"2472","2472","NORMAN, RALPH W. JR.","REP","H8SC05158","SC","5","NORMAN","GOP"
"2473","2473","CLYBURN, JAMES E.","DEM","H2SC02042","SC","6","CLYBURN","DEM"
"2474","2474","TALLON, ROBIN","DEM","H2SC06019","SC","6","TALLON","DEM"
"2475","2475","DIXON, GREGG MARCEL","DEM","H2SC06134","SC","6","DIXON","DEM"
"2476","2476","CHAPMAN, JOHN","REP","H2SC06118","SC","6","CHAPMAN","GOP"
"2477","2477","BUCKNER, DUKE","REP","H2SC06142","SC","6","BUCKNER","GOP"
"2478","2478","POLLARD, AURIOL SONIA","REP","H2SC06159","SC","6","POLLARD","GOP"
"2479","2479","RICE, TOM","REP","H2SC07066","SC","7","RICE","GOP"
"2480","2480","RICHARDSON, WILLIAM KENNETH","REP","H2SC07173","SC","7","RICHARDSON","GOP"
"2481","2481","SPURLOCK, JEANETTE M","REP","H2SC07207","SC","7","SPURLOCK","GOP"
"2482","2482","DUNN, TOM","REP","H2SC07215","SC","7","DUNN","GOP"
"2483","2483","REICHERT, STEVE","REP","H2SC07223","SC","7","REICHERT","GOP"
"2484","2484","ARTHUR, BARBARA MRS.","REP","H2SC07231","SC","7","ARTHUR","GOP"
"2485","2485","ALLEN, GRAHAM","REP","H2SC07256","SC","7","ALLEN","GOP"
"2486","2486","MCBRIDE, MARK STRUTHERS","REP","H2SC07272","SC","7","MCBRIDE","GOP"
"2487","2487","FRY, RUSSELL","REP","H2SC07280","SC","7","FRY","GOP"
"2488","2488","BARTON, GARRETT DR.","REP","H2SC07298","SC","7","BARTON","GOP"
"2489","2489","MORRIS, SPENCER ALLEN","REP","H2SC07306","SC","7","MORRIS","GOP"
"2490","2490","RYDER, RYAN","DEM","H2SD01058","SD","0","RYDER","DEM"
"2491","2491","HOWARD, TAFFY","REP","H2SD01041","SD","0","HOWARD","GOP"
"2492","2492","JOHNSON, DUSTY","REP","H8SD01055","SD","0","JOHNSON","GOP"
"2493","2493","KREBS, SHANTEL","REP","H8SD01063","SD","0","KREBS","GOP"
