"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"34","Ricardo Villarreal","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","21","9,590","27%","Made runoff","7,996","37%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"35","Claudia Andreana Zapata","Female","Latino","","","No","No","Texas","3/1/22","Representative","21","16,604","47%","Made runoff","13,886","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"36","Jamie Kaye Jordan","Female","White","","","No","No","Texas","3/1/22","Representative","22","20,818","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"37","Priscilla Golden","Female","Unknown","","","No","No","Texas","3/1/22","Representative","23","15,664","44%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"38","John Lira","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","23","19,816","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"39","Kathy Fragnoli","Female","White","","","No","No","Texas","3/1/22","Representative","24","8,139","28%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"40","Derrik T. Gay","Male","White","","","No","No","Texas","3/1/22","Representative","24","9,571","33%","Made runoff","6,788","49%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"41","Jan McDowell","Female","White","","","No","No","Texas","3/1/22","Representative","24","11,467","39%","Made runoff","7,118","51%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"42","Victor Melgoza","Male","Latino","","","No","No","Texas","3/1/22","Representative","27","3,289","15%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"43","Maclovio Perez Jr.","Male","Latino","","","No","No","Texas","3/1/22","Representative","27","13,044","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"44","Anthony J. Tristan","Male","Latino","","","No","No","Texas","3/1/22","Representative","27","5,733","26%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"45","Tannya Judith Benavides","Female","Latino","","","No","Yes","Texas","3/1/22","Representative","28","2,324","5%","Lost","N/A","N/A","N/A","No","No","No","No","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"46","Jessica Cisneros","Female","Latino (Mexican)","","","No","Yes","Texas","3/1/22","Representative","28","22,983","47%","Made runoff","22,614","50%","Lost","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"47","Henry Cuellar","Male","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","28","23,988","49%","Made runoff","22,895","50%","Won","No","No","No","No","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"48","Sylvia Garcia","Female","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","29","19,402","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"49","Jasmine Crockett","Female","Black","","","No","No","Texas","3/1/22","Representative","30","26,798","48%","Made runoff","17,462","61%","Won","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
