"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"1534","Jeremy Shaffer","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","17","40,965","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1535","Jason Killmeyer","Male","White","","","No","No","Pennsylvania","5/17/22","Representative","17","16,801","24%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1536","Kathy Coder","Female","White","","","No","No","Pennsylvania","5/17/22","Representative","17","12,079","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1537","Lou Barletta","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","273,252","20%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1538","Douglas V. Mastriano","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","591,240","44%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/14/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1539","Nche Zama","Male","Black","","","No","No","Pennsylvania","5/17/22","Governor","N/A","16,238","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1540","Dave White","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","129,058","10%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1541","Melissa Hart","Female","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","54,752","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1542","Bill McSwain","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","212,886","16%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1543","Charlie Gerow","Male","Latino (Brazilian)","","","No","No","Pennsylvania","5/17/22","Governor","N/A","17,922","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1544","Joe Gale","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","27,920","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1545","Jake Corman","Male","White","","","No","No","Pennsylvania","5/17/22","Governor","N/A","26,091","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1546","Bob Good","Male","White","","","Yes","No","Virginia","5/21/22","Representative","5","N/A","N/A","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/26/22","N/A","No","N/A","N/A","N/A","N/A"
"1547","Dan Moy","Male","White","","","No","Yes","Virginia","5/21/22","Representative","5","N/A","N/A","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1548","Monica Carpio","Female","White","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1549","Jeff Jordan","Male","White","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1550","Heerak Kim","Male","Asian (Korean)","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1551","Karina Lipsman","Female","White","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1552","Kezia Tunnell","Female","White","","","No","No","Virginia","5/21/22","Representative","8","N/A","N/A","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1553","John Beatty","Male","White","","","No","No","Virginia","5/21/22","Representative","10","232","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1554","Dave Beckwith","Male","White","","","No","No","Virginia","5/21/22","Representative","10","308","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1555","Hung Cao","Male","Asian (Vietnamese)","","","No","No","Virginia","5/21/22","Representative","10","6,363","42%","Made runoff","7,729","52%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1556","Mike Clancy","Male","White","","","No","No","Virginia","5/21/22","Representative","10","719","5%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1557","Theresa Coates Ellis","Female","White","","","No","No","Virginia","5/21/22","Representative","10","259","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1558","John Henley","Male","White","","","No","No","Virginia","5/21/22","Representative","10","612","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1559","Jeanine Lawson","Female","White","","","No","No","Virginia","5/21/22","Representative","10","4,373","29%","Made runoff","5,000","34%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A"
"1560","Caleb Max","Male","White","","","No","No","Virginia","5/21/22","Representative","10","621","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1561","Jeff Mayhugh","Male","White","","","No","No","Virginia","5/21/22","Representative","10","64","0%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1562","Brandon Michon","Male","White","","","No","No","Virginia","5/21/22","Representative","10","1,538","10%","Made runoff","2,052","14%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1563","Brooke Taylor","Female","White","","","No","No","Virginia","5/21/22","Representative","10","56","0%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","N/A","N/A"
"1564","Lillie Boddie","Female","Unknown","","","No","No","Alabama","5/24/22","Senator","N/A","4,849","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","N/A","No","No","No"
"1565","Katie Britt","Female","White","","","No","No","Alabama","5/24/22","Senator","N/A","289,425","45%","Made runoff","253251","63%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes (runoff only)","6/10/22","No","N/A","N/A","Yes","Yes","Yes"
"1566","Mo Brooks","Male","White","","","No","No","Alabama","5/24/22","Senator","N/A","188,539","29%","Made runoff","148636","37%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","3/23/22","Yes","N/A","N/A","No","No","No"
"1567","Karla M. DuPriest","Female","Black","","","No","No","Alabama","5/24/22","Senator","N/A","5,739","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","N/A","No","No","No"
"1568","Mike Durant","Male","White","","","No","No","Alabama","5/24/22","Senator","N/A","150,817","23%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","N/A","No","No","No"
"1569","Jake Schafer","Male","White","","","No","No","Alabama","5/24/22","Senator","N/A","7,371","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","N/A","No","No","No"
"1570","Jerry Carl","Male","White","","","Yes","No","Alabama","5/24/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1571","Barry Moore","Male","White","","","Yes","No","Alabama","5/24/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","Yes","N/A","N/A","N/A","N/A","N/A"
"1572","Michael T. Joiner","Male","White","","","No","Yes","Alabama","5/24/22","Representative","3","15,618","18%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1573","Mike Rogers","Male","White","","","Yes","No","Alabama","5/24/22","Representative","3","70,843","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1574","Robert Aderholt","Male","White","","","Yes","No","Alabama","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1575","Andy Blalock","Male","Unknown","","","No","No","Alabama","5/24/22","Representative","5","5,608","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1576","John Roberts","Male","White","","","No","No","Alabama","5/24/22","Representative","5","13,979","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1577","Paul Sanford","Male","White","","","No","No","Alabama","5/24/22","Representative","5","11,573","11%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1578","Dale Strong","Male","White","","","No","No","Alabama","5/24/22","Representative","5","45,319","45%","Made runoff","48138","63%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1579","Casey Wardynski","Male","White","","","No","No","Alabama","5/24/22","Representative","5","23,340","23%","Made runoff","27794","37%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1580","Harrison Wright","Male","White","","","No","No","Alabama","5/24/22","Representative","5","1,509","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1581","Gary Palmer","Male","White","","","Yes","No","Alabama","5/24/22","Representative","6","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","1/18/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1582","Beatrice Nichols","Female","White","","","No","No","Alabama","5/24/22","Representative","7","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1583","Lindy Blanchard","Female","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","126,202","19%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1584","Lew Burdette","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","42,924","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1585","Stacy Lee George","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","2,546","0%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1586","Kay Ivey","Female","White","","","Yes","No","Alabama","5/24/22","Governor","N/A","357,069","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1587","Tim James","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","106,181","16%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1588","Donald Trent Jones","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","3,821","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1589","Dean Odle","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","11,767","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1590","Dave Thomas","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","2,886","0%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1591","Dean Young","Male","White","","","No","Yes","Alabama","5/24/22","Governor","N/A","2,356","0%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1592","Jan Morgan","Female","White","","","No","Yes","Arkansas","5/24/22","Senator","N/A","65,958","19%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1593","John Boozman","Male","White","","","Yes","No","Arkansas","5/24/22","Senator","N/A","201,677","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","3/8/21","N/A","N/A","N/A","N/A","N/A","N/A"
"1594","Heath Loftis","Male","White","","","No","Yes","Arkansas","5/24/22","Senator","N/A","8,112","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1595","Jake Bequette","Male","White","","","No","Yes","Arkansas","5/24/22","Senator","N/A","71,809","21%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1596","Rick Crawford","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","1","64,102","75%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","10/7/21","N/A","N/A","N/A","N/A","N/A","N/A"
"1597","Jody Shackelford","Male","White","","","No","Yes","Arkansas","5/24/22","Representative","1","9,837","11%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1598","Brandt Smith","Male","White","","","No","Yes","Arkansas","5/24/22","Representative","1","11,981","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1599","Conrad Reynolds","Male","White","","","No","Yes","Arkansas","5/24/22","Representative","2","35,078","41%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1600","French Hill","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","2","49,488","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1601","Steve Womack","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","3","60,814","79%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1602","Neil Robinson Kumar","Male","White","Asian","","No","Yes","Arkansas","5/24/22","Representative","3","16,414","21%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1603","Bruce Westerman","Male","White","","","Yes","No","Arkansas","5/24/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1604","Francis ""Doc"" Washburn","Male","White","","","No","No","Arkansas","5/24/22","Governor","N/A","58,638","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1605","Sarah Huckabee Sanders","Female","White","","","No","No","Arkansas","5/24/22","Governor","N/A","289,249","83%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","1/25/21","N/A","N/A","N/A","N/A","Yes","N/A"
"1606","Gary W. Black","Male","White","","","No","No","Georgia","5/24/22","Senator","N/A","157,370","13%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1607","Josh Clark","Male","White","","","No","No","Georgia","5/24/22","Senator","N/A","46,693","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1608","Kelvin King","Male","Black","","","No","No","Georgia","5/24/22","Senator","N/A","37,930","3%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1609","Jonathan ""Jon"" McColumn","Male","Black","","","No","No","Georgia","5/24/22","Senator","N/A","28,601","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1610","Latham Saddler","Male","White","","","No","No","Georgia","5/24/22","Senator","N/A","104,471","9%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1611","Herschel Junior Walker","Male","Black","","","No","No","Georgia","5/24/22","Senator","N/A","803,560","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","9/2/21","N/A","N/A","N/A","N/A","N/A","N/A"
"1612","Earl L. ""Buddy"" Carter","Male","White","","","Yes","No","Georgia","5/24/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1613","Vivian L. Childs","Male","Black","","","No","No","Georgia","5/24/22","Representative","2","3,986","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A"
"1614","Jeremy Hunt","Male","Black","","","No","No","Georgia","5/24/22","Representative","2","22,923","37%","Made runoff","13875","49%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1615","Wayne Johnson","Male","White","","","No","No","Georgia","5/24/22","Representative","2","11,574","19%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1616","Rich Robertson","Male","White","","","No","No","Georgia","5/24/22","Representative","2","2,832","5%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1617","Chris West","Male","White","","","No","No","Georgia","5/24/22","Representative","2","18,658","30%","Made runoff","14622","51%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1618","Paul Whitehead","Male","White","","","No","No","Georgia","5/24/22","Representative","2","2,037","3%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A"
"1619","Jared Craig","Male","White","","","No","Yes","Georgia","5/24/22","Representative","3","20,175","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1620","Drew Ferguson","Male","White","","","Yes","No","Georgia","5/24/22","Representative","3","96,314","83%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1621","Jonathan Chavez","Male","White","","","No","No","Georgia","5/24/22","Representative","4","21,924","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1622","Surrea Ivy","Female","Black","","","No","No","Georgia","5/24/22","Representative","4","6,078","22%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1623","Christian Zimm","Male","White","","","No","No","Georgia","5/24/22","Representative","5","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1624","Jake Evans","Male","White","","","No","No","Georgia","5/24/22","Representative","6","26,160","23%","Made runoff","13808","33%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/5/22","No","N/A","N/A","N/A","No","N/A"
"1625","Byron Gatewood","Male","White","","","No","No","Georgia","5/24/22","Representative","6","3,358","3%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1626","Meagan Hanson","Female","White","","","No","No","Georgia","5/24/22","Representative","6","9,539","8%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1627","Blake Harbin","Male","White","","","No","No","Georgia","5/24/22","Representative","6","4,171","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1628","Rich McCormick","Male","White","","","No","No","Georgia","5/24/22","Representative","6","48,967","43%","Made runoff","27455","67%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","Yes","N/A","N/A","N/A","No","N/A"
"1629","Paulette Smith","Female","Black","","","No","No","Georgia","5/24/22","Representative","6","1,123","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1630","Mallory Staples","Female","White","","","No","No","Georgia","5/24/22","Representative","6","10,178","9%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1631","Suzi Voyles","Female","White","","","No","No","Georgia","5/24/22","Representative","6","2,646","2%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","Yes","N/A"
"1632","Eugene Yu","Male","Asian (Korean)","","","No","No","Georgia","5/24/22","Representative","6","7,411","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"1633","Michael Corbin","Male","White","","","No","No","Georgia","5/24/22","Representative","7","18,637","41%","Made runoff","3666","30%","Lost",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1634","Mark Gonsalves","Male","White","","","No","No","Georgia","5/24/22","Representative","7","12,477","27%","Made runoff","8591","70%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1635","Lisa McCoy","Female","White","","","No","No","Georgia","5/24/22","Representative","7","6,380","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1636","Y.G. Nyghtstorm","Male","Black","","","No","No","Georgia","5/24/22","Representative","7","3,510","8%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1637","Mary West","Female","White","","","No","No","Georgia","5/24/22","Representative","7","4,370","10%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1638","Austin Scott","Male","White","","","Yes","No","Georgia","5/24/22","Representative","8","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1639","Michael Boggus","Male","White","","","No","Yes","Georgia","5/24/22","Representative","9","4,230","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
